7936 東証1部 (株)アシックス（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","1824","1829","1803","1821","1469800","1821"
"2018-01-05","1825","1829","1819","1824","816900","1824"
"2018-01-09","1830","1837","1811","1830","1090700","1830"
"2018-01-10","1824","1846","1821","1839","942100","1839"
"2018-01-11","1821","1835","1796","1821","756800","1821"
"2018-01-12","1825","1836","1808","1810","819300","1810"
"2018-01-15","1820","1831","1806","1828","1056200","1828"
"2018-01-16","1822","1827","1790","1793","1195000","1793"
"2018-01-17","1771","1787","1761","1777","1083000","1777"
"2018-01-18","1803","1815","1777","1778","880300","1778"
"2018-01-19","1790","1795","1776","1781","566500","1781"
"2018-01-22","1794","1838","1790","1822","908500","1822"
"2018-01-23","1825","1852","1801","1850","1098500","1850"
"2018-01-24","1863","1893","1860","1866","1121700","1866"
"2018-01-25","1860","1880","1841","1843","1105700","1843"
"2018-01-26","1841","1858","1832","1840","991300","1840"
"2018-01-29","1845","1876","1835","1860","793100","1860"
"2018-01-30","1869","1870","1821","1830","796400","1830"
"2018-01-31","1808","1842","1796","1796","901800","1796"
"2018-02-01","1787","1822","1773","1820","767400","1820"
"2018-02-02","1798","1822","1792","1819","727000","1819"
"2018-02-05","1790","1794","1766","1777","648300","1777"
"2018-02-06","1700","1723","1677","1722","1441900","1722"
"2018-02-07","1753","1796","1727","1728","985700","1728"
"2018-02-08","1737","1761","1735","1747","704300","1747"
"2018-02-09","1691","1734","1690","1724","805400","1724"
"2018-02-13","1735","1778","1710","1734","1299800","1734"
"2018-02-14","1719","1747","1710","1730","838500","1730"
"2018-02-15","1600","1602","1539","1558","3580900","1558"
"2018-02-16","1565","1619","1565","1601","1940000","1601"
"2018-02-19","1643","1713","1641","1682","1898100","1682"
"2018-02-20","1681","1707","1673","1687","867400","1687"
"2018-02-21","1667","1667","1648","1658","1110800","1658"
"2018-02-22","1645","1654","1637","1644","1116400","1644"
"2018-02-23","1651","1692","1648","1683","773900","1683"
"2018-02-26","1700","1760","1695","1738","1324800","1738"
"2018-02-27","1765","1777","1727","1735","1208000","1735"
"2018-02-28","1734","1787","1709","1709","1511400","1709"
"2018-03-01","1685","1729","1681","1701","1098500","1701"
"2018-03-02","1670","1730","1662","1717","2028900","1717"
"2018-03-05","1700","1742","1688","1725","1154400","1725"
"2018-03-06","1745","1781","1740","1766","897800","1766"
"2018-03-07","1752","1800","1743","1764","1115200","1764"
"2018-03-08","1804","1900","1803","1844","2875300","1844"
"2018-03-09","1869","1885","1837","1858","1702400","1858"
"2018-03-12","1900","1933","1899","1919","1822900","1919"
"2018-03-13","1913","1950","1912","1949","998400","1949"
"2018-03-14","1935","1976","1928","1969","1354500","1969"
"2018-03-15","1966","1972","1903","1951","1717500","1951"
"2018-03-16","1900","1926","1899","1914","1620600","1914"
"2018-03-19","1911","1925","1889","1918","880800","1918"
"2018-03-20","1908","1972","1908","1965","1163600","1965"
"2018-03-22","1940","1979","1892","1973","1644200","1973"
