1306 東証ETF TOPIX連動型上場投資信託（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","1900","1920","1898","1920","4501530","1920"
"2018-01-05","1929","1937","1924","1935","3886610","1935"
"2018-01-09","1953","1953","1938","1945","2372630","1945"
"2018-01-10","1945","1951","1944","1949","5268070","1949"
"2018-01-11","1939","1945","1933","1945","3956350","1945"
"2018-01-12","1941","1942","1928","1933","2319170","1933"
"2018-01-15","1947","1949","1938","1940","2540470","1940"
"2018-01-16","1941","1951","1938","1951","3200900","1951"
"2018-01-17","1940","1949","1939","1947","1745590","1947"
"2018-01-18","1965","1965","1930","1933","2973240","1933"
"2018-01-19","1943","1947","1938","1944","1720350","1944"
"2018-01-22","1946","1950","1940","1950","1405390","1950"
"2018-01-23","1957","1969","1955","1968","2379900","1968"
"2018-01-24","1961","1965","1954","1956","1938380","1956"
"2018-01-25","1941","1949","1938","1942","2471290","1942"
"2018-01-26","1946","1949","1933","1936","1493580","1936"
"2018-01-29","1938","1946","1933","1937","2973820","1937"
"2018-01-30","1934","1936","1908","1913","4201340","1913"
"2018-01-31","1906","1915","1891","1892","3281170","1892"
"2018-02-01","1905","1927","1903","1925","2904720","1925"
"2018-02-02","1919","1924","1903","1918","3113910","1918"
"2018-02-05","1889","1892","1875","1878","5555440","1878"
"2018-02-06","1801","1807","1757","1793","9243990","1793"
"2018-02-07","1849","1858","1800","1801","4377490","1801"
"2018-02-08","1813","1825","1804","1815","3123990","1815"
"2018-02-09","1760","1785","1757","1785","3971910","1785"
"2018-02-13","1803","1804","1764","1768","4681700","1768"
"2018-02-14","1770","1777","1741","1753","3357030","1753"
"2018-02-15","1771","1780","1763","1770","2615630","1770"
"2018-02-16","1783","1800","1777","1791","2096010","1791"
"2018-02-19","1806","1829","1801","1829","3577010","1829"
"2018-02-20","1820","1821","1805","1816","1901720","1816"
"2018-02-21","1816","1826","1805","1815","1748220","1815"
"2018-02-22","1802","1803","1788","1797","2581910","1797"
"2018-02-23","1802","1815","1800","1812","2174760","1812"
"2018-02-26","1829","1834","1822","1830","1837090","1830"
"2018-02-27","1843","1849","1838","1845","2680900","1845"
"2018-02-28","1837","1846","1820","1822","1944770","1822"
"2018-03-01","1806","1809","1787","1794","2730880","1794"
"2018-03-02","1758","1766","1751","1762","3250050","1762"
"2018-03-05","1749","1757","1737","1746","3119380","1746"
"2018-03-06","1774","1781","1765","1767","2428780","1767"
"2018-03-07","1757","1774","1753","1756","2175320","1756"
"2018-03-08","1772","1772","1755","1761","1576580","1761"
"2018-03-09","1780","1793","1757","1768","3028720","1768"
"2018-03-12","1797","1799","1785","1796","2257130","1796"
"2018-03-13","1787","1805","1783","1803","3232500","1803"
"2018-03-14","1792","1799","1789","1797","1463240","1797"
"2018-03-15","1790","1799","1779","1798","2201500","1798"
"2018-03-16","1799","1800","1785","1788","1617830","1788"
"2018-03-19","1781","1787","1766","1772","2317350","1772"
"2018-03-20","1760","1768","1753","1766","1408070","1766"
"2018-03-22","1764","1781","1761","1781","2722410","1781"
"2018-03-23","1733","1741","1710","1713","3494790","1713"
"2018-03-26","1702","1721","1694","1721","3579390","1721"
"2018-03-27","1740","1767","1737","1766","3714080","1766"
"2018-03-28","1750","1769","1743","1767","2352200","1767"
"2018-03-29","1782","1783","1756","1770","2645130","1770"
"2018-03-30","1785","1789","1776","1785","3354550","1785"
"2018-04-02","1785","1792","1776","1777","1883230","1777"
"2018-04-03","1759","1775","1754","1772","2218860","1772"
"2018-04-04","1775","1780","1766","1774","2178190","1774"
"2018-04-05","1789","1802","1780","1794","1842920","1794"
"2018-04-06","1792","1801","1788","1788","1981070","1788"
"2018-04-09","1786","1800","1783","1794","2373540","1794"
"2018-04-10","1789","1812","1786","1801","2367620","1801"
"2018-04-11","1803","1805","1794","1794","1361300","1794"
"2018-04-12","1794","1794","1785","1787","1584110","1787"
"2018-04-13","1794","1805","1793","1799","1212220","1799"
"2018-04-16","1800","1807","1797","1805","2608260","1805"
"2018-04-17","1800","1807","1794","1799","3632060","1799"
"2018-04-18","1802","1822","1801","1820","2339560","1820"
"2018-04-19","1825","1832","1818","1819","1635350","1819"
"2018-04-20","1816","1827","1814","1820","1726890","1820"
"2018-04-23","1822","1827","1817","1818","1977900","1818"
"2018-04-24","1832","1841","1825","1841","2734950","1841"
"2018-04-25","1826","1840","1825","1839","3413490","1839"
"2018-04-26","1843","1845","1838","1843","2857420","1843"
"2018-04-27","1849","1850","1841","1849","2526820","1849"
"2018-05-01","1842","1847","1838","1844","3672310","1844"
"2018-05-02","1847","1848","1838","1841","1730560","1841"
"2018-05-07","1846","1846","1834","1843","1311870","1843"
"2018-05-08","1843","1856","1842","1851","1351020","1851"
"2018-05-09","1849","1850","1838","1842","1784790","1842"
"2018-05-10","1848","1850","1842","1849","1800790","1849"
"2018-05-11","1854","1868","1853","1868","1763250","1868"
"2018-05-14","1868","1880","1865","1879","3494970","1879"
"2018-05-15","1881","1885","1876","1877","2422720","1877"
"2018-05-16","1871","1879","1870","1871","2990400","1871"
"2018-05-17","1880","1885","1877","1880","2157430","1880"
"2018-05-18","1886","1889","1880","1887","2784150","1887"
"2018-05-21","1887","1893","1885","1887","3078010","1887"
"2018-05-22","1886","1886","1880","1882","1503000","1882"
"2018-05-23","1877","1884","1863","1869","1778000","1869"
"2018-05-24","1863","1864","1843","1846","2234220","1846"
"2018-05-25","1840","1847","1837","1842","3066410","1842"
"2018-05-28","1841","1846","1836","1841","2046010","1841"
"2018-05-29","1837","1840","1825","1832","2002480","1832"
"2018-05-30","1803","1811","1800","1807","2561120","1807"
"2018-05-31","1818","1820","1809","1817","1756720","1817"
"2018-06-01","1812","1827","1809","1820","1649250","1820"
"2018-06-04","1837","1849","1835","1847","2012700","1847"
"2018-06-05","1851","1854","1841","1846","1622980","1846"
"2018-06-06","1846","1852","1843","1849","1461120","1849"
"2018-06-07","1858","1863","1856","1860","966960","1860"
"2018-06-08","1858","1865","1852","1852","1394870","1852"
"2018-06-11","1851","1863","1849","1858","2087170","1858"
"2018-06-12","1869","1874","1857","1865","3470260","1865"
"2018-06-13","1866","1876","1866","1871","2832210","1871"
"2018-06-14","1862","1866","1854","1854","2842440","1854"
"2018-06-15","1866","1866","1856","1859","1522350","1859"
"2018-06-18","1856","1856","1834","1843","874600","1843"
"2018-06-19","1832","1839","1813","1813","1744070","1813"
"2018-06-20","1816","1825","1797","1822","2258950","1822"
"2018-06-21","1822","1830","1817","1821","1759540","1821"
"2018-06-22","1801","1817","1801","1816","2247380","1816"
"2018-06-25","1818","1818","1794","1799","2427260","1799"
"2018-06-26","1786","1802","1779","1802","2510580","1802"
"2018-06-27","1801","1807","1794","1802","977410","1802"
