5332 東証1部 ＴＯＴＯ(株)（ガラス・土石製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","6750","6900","6730","6900","861900","6900"
"2018-01-05","6940","6950","6860","6890","708000","6890"
"2018-01-09","6950","6950","6830","6890","490600","6890"
"2018-01-10","6940","6940","6860","6880","297100","6880"
"2018-01-11","6850","6870","6770","6820","598400","6820"
"2018-01-12","6770","6780","6580","6600","1363700","6600"
"2018-01-15","6670","6730","6610","6640","640600","6640"
"2018-01-16","6600","6650","6480","6610","682700","6610"
"2018-01-17","6540","6640","6510","6530","857600","6530"
"2018-01-18","6620","6620","6470","6490","955400","6490"
"2018-01-19","6430","6520","6390","6450","955000","6450"
"2018-01-22","6400","6550","6370","6500","480000","6500"
"2018-01-23","6540","6670","6510","6660","646500","6660"
"2018-01-24","6520","6540","6420","6430","1064500","6430"
"2018-01-25","6340","6470","6220","6350","1076400","6350"
"2018-01-26","6390","6460","6320","6350","556000","6350"
"2018-01-29","6310","6330","6240","6270","708200","6270"
"2018-01-30","6260","6270","6160","6170","955100","6170"
"2018-01-31","6150","6330","6140","6230","973400","6230"
"2018-02-01","5800","6150","5780","6070","1378300","6070"
"2018-02-02","6000","6020","5890","5930","1073600","5930"
"2018-02-05","5780","5810","5690","5700","1109600","5700"
"2018-02-06","5410","5490","5200","5370","2731500","5370"
"2018-02-07","5520","5650","5350","5360","1812900","5360"
"2018-02-08","5350","5470","5320","5460","1220700","5460"
"2018-02-09","5300","5470","5300","5460","1524800","5460"
"2018-02-13","5550","5550","5340","5360","962400","5360"
"2018-02-14","5300","5390","5270","5350","844400","5350"
"2018-02-15","5450","5540","5410","5530","917700","5530"
"2018-02-16","5550","5720","5520","5640","881300","5640"
"2018-02-19","5700","5780","5660","5770","560100","5770"
"2018-02-20","5770","5770","5640","5670","562600","5670"
"2018-02-21","5690","5840","5640","5800","727900","5800"
"2018-02-22","5700","5720","5580","5680","699600","5680"
"2018-02-23","5720","5810","5700","5790","487500","5790"
"2018-02-26","5880","5890","5720","5760","650400","5760"
"2018-02-27","5840","5860","5730","5760","700800","5760"
"2018-02-28","5720","5760","5660","5660","693300","5660"
"2018-03-01","5600","5640","5580","5610","701100","5610"
"2018-03-02","5440","5580","5430","5520","767000","5520"
"2018-03-05","5450","5580","5450","5550","593900","5550"
"2018-03-06","5640","5710","5630","5660","534200","5660"
"2018-03-07","5630","5660","5550","5560","587700","5560"
"2018-03-08","5580","5620","5530","5560","646300","5560"
"2018-03-09","5630","5760","5590","5630","1200300","5630"
