1330 東証ETF 上場インデックスファンド225（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","23860","24230","23860","24220","185170","24220"
"2018-01-05","24400","24480","24250","24480","116430","24480"
"2018-01-09","24740","24740","24540","24590","116880","24590"
"2018-01-10","24570","24610","24500","24530","35800","24530"
"2018-01-11","24390","24480","24350","24430","58770","24430"
"2018-01-12","24500","24500","24320","24390","99140","24390"
"2018-01-15","24570","24570","24430","24450","68490","24450"
"2018-01-16","24470","24700","24450","24700","81640","24700"
"2018-01-17","24510","24630","24480","24610","87760","24610"
"2018-01-18","24890","24890","24450","24520","173260","24520"
"2018-01-19","24600","24620","24480","24550","74480","24550"
"2018-01-22","24550","24550","24440","24550","41030","24550"
"2018-01-23","24670","24890","24670","24880","110070","24880"
"2018-01-24","24770","24830","24670","24680","88020","24680"
"2018-01-25","24470","24570","24390","24420","129230","24420"
"2018-01-26","24510","24540","24330","24340","96850","24340"
"2018-01-29","24480","24530","24320","24380","59140","24380"
"2018-01-30","24320","24320","23970","24030","213150","24030"
"2018-01-31","23920","24100","23840","23850","129660","23850"
"2018-02-01","24010","24230","23970","24210","95680","24210"
"2018-02-02","24080","24080","23850","24010","106470","24010"
"2018-02-05","23540","23590","23370","23420","237720","23420"
"2018-02-06","22420","22540","21740","22270","470690","22270"
"2018-02-07","22960","23060","22320","22320","306630","22320"
"2018-02-08","22410","22660","22330","22590","139660","22590"
"2018-02-09","21800","22080","21770","22060","260210","22060"
"2018-02-13","22410","22410","21880","21880","180940","21880"
"2018-02-14","21910","22030","21600","21790","212560","21790"
"2018-02-15","22070","22250","21970","22150","142210","22150"
"2018-02-16","22260","22550","22190","22380","155640","22380"
"2018-02-19","22590","22850","22540","22850","112510","22850"
"2018-02-20","22760","22760","22520","22590","103210","22590"
"2018-02-21","22640","22840","22520","22660","135470","22660"
"2018-02-22","22470","22480","22290","22390","130360","22390"
"2018-02-23","22480","22580","22420","22580","76060","22580"
"2018-02-26","22870","22940","22750","22870","92140","22870"
"2018-02-27","23100","23220","23030","23110","111200","23110"
"2018-02-28","22990","23090","22780","22780","134420","22780"
"2018-03-01","22600","22620","22330","22410","132060","22410"
"2018-03-02","21910","21950","21750","21860","309580","21860"
"2018-03-05","21710","21840","21600","21710","177750","21710"
"2018-03-06","22120","22240","22090","22110","137670","22110"
"2018-03-07","21950","22170","21880","21920","103660","21920"
"2018-03-08","22170","22180","21970","22030","87890","22030"
"2018-03-09","22250","22570","22030","22130","188620","22130"
"2018-03-12","22630","22670","22380","22540","135590","22540"
"2018-03-13","22420","22660","22390","22640","98100","22640"
"2018-03-14","22450","22570","22370","22460","87580","22460"
"2018-03-15","22400","22520","22240","22510","91440","22510"
"2018-03-16","22550","22550","22320","22380","55990","22380"
"2018-03-19","22220","22350","22040","22150","83820","22150"
"2018-03-20","21980","22060","21900","22060","100970","22060"
"2018-03-22","22050","22260","22040","22260","65500","22260"
"2018-03-23","21570","21670","21210","21250","318690","21250"
"2018-03-26","21060","21410","20990","21410","157950","21410"
"2018-03-27","21660","21970","21610","21950","137360","21950"
"2018-03-28","21660","21860","21590","21860","209620","21860"
"2018-03-29","22120","22130","21820","21990","97380","21990"
"2018-03-30","22230","22360","22140","22310","205410","22310"
"2018-04-02","22280","22440","22240","22240","91850","22240"
"2018-04-03","21920","22160","21870","22110","58450","22110"
"2018-04-04","22280","22280","22080","22150","78480","22150"
"2018-04-05","22390","22590","22300","22520","91390","22520"
"2018-04-06","22490","22610","22410","22440","99360","22440"
"2018-04-09","22380","22590","22370","22550","41560","22550"
"2018-04-10","22430","22790","22390","22670","67170","22670"
"2018-04-11","22720","22720","22550","22560","35800","22560"
"2018-04-12","22540","22570","22450","22480","32310","22480"
"2018-04-13","22690","22770","22610","22640","79750","22640"
"2018-04-16","22690","22740","22630","22700","34950","22700"
"2018-04-17","22670","22750","22630","22720","31650","22720"
"2018-04-18","22790","23060","22780","23030","138390","23030"
"2018-04-19","23100","23230","23050","23060","79970","23060"
"2018-04-20","23030","23140","22940","23030","41670","23030"
"2018-04-23","23050","23070","22940","22970","32050","22970"
"2018-04-24","23120","23170","23030","23170","40070","23170"
"2018-04-25","23000","23100","22950","23090","41510","23090"
"2018-04-26","23210","23260","23160","23210","76790","23210"
"2018-04-27","23280","23380","23240","23350","67420","23350"
"2018-05-01","23350","23410","23310","23400","24310","23400"
"2018-05-02","23460","23460","23310","23360","410580","23360"
"2018-05-07","23400","23400","23220","23340","49170","23340"
"2018-05-08","23320","23450","23300","23400","32600","23400"
"2018-05-09","23330","23370","23250","23290","28110","23290"
"2018-05-10","23370","23410","23300","23370","34650","23370"
"2018-05-11","23440","23670","23440","23660","110680","23660"
"2018-05-14","23650","23790","23640","23780","47330","23780"
"2018-05-15","23790","23810","23700","23710","49600","23710"
"2018-05-16","23630","23690","23600","23630","87080","23630"
"2018-05-17","23710","23790","23700","23740","76770","23740"
"2018-05-18","23830","23850","23780","23820","52140","23820"
"2018-05-21","23850","23960","23840","23920","70340","23920"
"2018-05-22","23930","23930","23860","23870","47760","23870"
"2018-05-23","23780","23850","23550","23580","99040","23580"
"2018-05-24","23520","23530","23260","23320","102590","23320"
"2018-05-25","23250","23400","23200","23340","92030","23340"
"2018-05-28","23380","23430","23290","23350","79280","23350"
"2018-05-29","23300","23320","23110","23220","77580","23220"
"2018-05-30","22870","22950","22790","22880","146210","22880"
"2018-05-31","23050","23120","22970","23100","79690","23100"
"2018-06-01","23020","23200","22980","23030","73210","23030"
"2018-06-04","23250","23410","23250","23360","45720","23360"
"2018-06-05","23460","23490","23360","23420","56210","23420"
"2018-06-06","23430","23550","23390","23520","38280","23520"
"2018-06-07","23670","23750","23640","23720","70380","23720"
"2018-06-08","23730","23770","23580","23580","67300","23580"
"2018-06-11","23590","23740","23560","23720","159760","23720"
"2018-06-12","23890","23910","23700","23800","87900","23800"
"2018-06-13","23800","23890","23800","23890","41930","23890"
"2018-06-14","23750","23800","23640","23650","62450","23650"
"2018-06-15","23800","23800","23680","23750","50290","23750"
"2018-06-18","23710","23710","23500","23570","78470","23570"
"2018-06-19","23470","23500","23160","23160","105410","23160"
"2018-06-20","23240","23470","23050","23450","92130","23450"
"2018-06-21","23420","23670","23370","23590","49040","23590"
"2018-06-22","23340","23420","23310","23410","55100","23410"
"2018-06-25","23460","23460","23190","23220","62420","23220"
"2018-06-26","23060","23250","22990","23230","87980","23230"
"2018-06-27","23250","23260","23120","23160","63440","23160"
