8316 東証1部 (株)三井住友フィナンシャルグループ（銀行業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","4949","5015","4946","5013","9066700","5013"
"2018-01-05","5071","5134","5067","5095","10985300","5095"
"2018-01-09","5190","5203","5078","5090","7822700","5090"
"2018-01-10","5182","5215","5168","5177","9731100","5177"
"2018-01-11","5230","5242","5178","5228","8621500","5228"
"2018-01-12","5266","5269","5175","5192","8607000","5192"
"2018-01-15","5285","5333","5259","5286","9052800","5286"
"2018-01-16","5298","5316","5273","5310","8796600","5310"
"2018-01-17","5230","5265","5209","5258","8623700","5258"
"2018-01-18","5303","5307","5200","5200","9226200","5200"
"2018-01-19","5267","5293","5254","5275","6279800","5275"
"2018-01-22","5288","5304","5244","5261","4801500","5261"
"2018-01-23","5281","5318","5268","5311","6608800","5311"
"2018-01-24","5281","5287","5174","5208","8788400","5208"
"2018-01-25","5163","5194","5125","5146","8186000","5146"
"2018-01-26","5151","5154","5051","5053","9086100","5053"
"2018-01-29","5001","5066","4990","5038","8901600","5038"
"2018-01-30","5053","5060","4952","4979","8727900","4979"
"2018-01-31","4940","4995","4878","4878","8680500","4878"
"2018-02-01","5012","5139","4972","5094","14599800","5094"
"2018-02-02","5139","5139","5006","5035","11512000","5035"
"2018-02-05","4950","4969","4885","4935","9896700","4935"
"2018-02-06","4773","4794","4658","4787","16123000","4787"
"2018-02-07","4927","4934","4800","4802","13118500","4802"
"2018-02-08","4851","4877","4798","4857","8193800","4857"
"2018-02-09","4735","4763","4650","4734","10677500","4734"
"2018-02-13","4802","4807","4675","4684","9783600","4684"
"2018-02-14","4723","4741","4642","4649","7180500","4649"
"2018-02-15","4788","4788","4722","4729","6893900","4729"
"2018-02-16","4761","4790","4738","4746","4920500","4746"
"2018-02-19","4791","4853","4774","4831","6558400","4831"
"2018-02-20","4800","4800","4726","4773","5669300","4773"
"2018-02-21","4779","4792","4707","4717","6190200","4717"
"2018-02-22","4681","4697","4650","4685","6262500","4685"
"2018-02-23","4667","4719","4660","4713","4443100","4713"
"2018-02-26","4751","4764","4715","4721","3908200","4721"
"2018-02-27","4763","4785","4752","4775","5725500","4775"
"2018-02-28","4762","4763","4686","4686","6035900","4686"
"2018-03-01","4639","4642","4596","4612","7752900","4612"
"2018-03-02","4542","4595","4529","4586","7477200","4586"
"2018-03-05","4547","4574","4526","4551","4636800","4551"
"2018-03-06","4616","4635","4558","4562","5998600","4562"
"2018-03-07","4528","4564","4498","4511","6990400","4511"
"2018-03-08","4549","4573","4503","4516","4815400","4516"
"2018-03-09","4586","4626","4514","4518","8596700","4518"
"2018-03-12","4598","4635","4583","4628","6404700","4628"
"2018-03-13","4596","4618","4570","4616","5358200","4616"
"2018-03-14","4590","4634","4586","4621","5306500","4621"
"2018-03-15","4583","4603","4565","4603","5393000","4603"
"2018-03-16","4588","4595","4555","4561","5801000","4561"
"2018-03-19","4546","4556","4507","4525","4421600","4525"
"2018-03-20","4500","4551","4494","4542","4453600","4542"
"2018-03-22","4472","4541","4457","4532","7457500","4532"
"2018-03-23","4451","4467","4411","4426","9237100","4426"
"2018-03-26","4390","4442","4375","4442","7074900","4442"
"2018-03-27","4510","4545","4488","4543","8358000","4543"
"2018-03-28","4425","4479","4380","4474","6104700","4474"
"2018-03-29","4492","4500","4418","4451","5186800","4451"
"2018-03-30","4474","4501","4437","4458","4584900","4458"
"2018-04-02","4447","4487","4415","4415","4309300","4415"
"2018-04-03","4381","4422","4360","4410","3945000","4410"
"2018-04-04","4394","4400","4338","4357","7509000","4357"
"2018-04-05","4391","4481","4361","4440","7608000","4440"
"2018-04-06","4418","4464","4414","4432","5192600","4432"
"2018-04-09","4418","4494","4411","4473","4752700","4473"
"2018-04-10","4440","4493","4403","4480","5829600","4480"
"2018-04-11","4495","4532","4489","4491","5048000","4491"
"2018-04-12","4498","4523","4459","4469","5064000","4469"
"2018-04-13","4534","4625","4528","4560","7652100","4560"
"2018-04-16","4539","4559","4487","4515","6564700","4515"
"2018-04-17","4497","4499","4443","4458","6098100","4458"
"2018-04-18","4431","4461","4402","4457","7303900","4457"
"2018-04-19","4488","4550","4474","4491","7549400","4491"
"2018-04-20","4514","4545","4500","4522","5770300","4522"
"2018-04-23","4569","4623","4568","4595","6796900","4595"
"2018-04-24","4660","4689","4610","4688","8351100","4688"
"2018-04-25","4665","4697","4656","4691","6947900","4691"
"2018-04-26","4705","4711","4626","4638","8074900","4638"
"2018-04-27","4621","4621","4548","4550","9377000","4550"
"2018-05-01","4550","4552","4473","4487","8084500","4487"
"2018-05-07","4509","4509","4449","4470","4276400","4470"
"2018-05-08","4455","4516","4454","4488","4348600","4488"
"2018-05-09","4470","4483","4443","4473","5751700","4473"
"2018-05-10","4507","4515","4479","4492","3502700","4492"
"2018-05-11","4519","4535","4497","4520","4862600","4520"
"2018-05-14","4520","4561","4516","4553","4604100","4553"
"2018-05-16","4631","4650","4553","4643","8516600","4643"
"2018-05-17","4740","4807","4701","4707","10712100","4707"
"2018-05-18","4707","4723","4682","4710","4544300","4710"
"2018-05-21","4688","4715","4684","4699","4969800","4699"
"2018-05-22","4688","4702","4656","4687","5353800","4687"
"2018-05-23","4671","4702","4639","4671","5380900","4671"
"2018-05-24","4640","4644","4600","4628","6593100","4628"
"2018-05-25","4625","4633","4571","4584","5779000","4584"
"2018-05-28","4584","4590","4548","4587","3986700","4587"
"2018-05-29","4565","4586","4536","4553","4947700","4553"
"2018-05-30","4431","4474","4413","4471","8364100","4471"
"2018-05-31","4530","4534","4482","4503","7956700","4503"
"2018-06-01","4503","4577","4461","4523","7063800","4523"
"2018-06-04","4583","4632","4560","4608","5834800","4608"
"2018-06-05","4606","4613","4552","4576","4904600","4576"
"2018-06-06","4576","4598","4564","4581","3883500","4581"
"2018-06-07","4651","4665","4597","4616","5849100","4616"
"2018-06-08","4555","4598","4542","4550","8140900","4550"
"2018-06-11","4510","4550","4495","4542","4905700","4542"
