日時	始値	高値	安値	終値	単純移動平均1/単純移動平均	単純移動平均2/単純移動平均	売買高/売買高+移動平均	単純移動平均1/売買高+移動平均	単純移動平均2/売買高+移動平均	
2019/01/17	20544.23	20571.75	20342.46	20402.27			1148730000			
2019/01/18	20472.81	20682.12	20454.13	20666.07			1150950000			
2019/01/21	20848.38	20892.68	20678.26	20719.33			1127740000			
2019/01/22	20770.06	20805.93	20558.3	20622.91			1010930000			
2019/01/23	20453.44	20686.29	20438.22	20593.72	20600.8600		1151880000	1118046000		
2019/01/24	20506.24	20620.72	20467.59	20574.63	20635.3320		1149430000	1118186000		
2019/01/25	20598.64	20844.31	20598.64	20773.56	20656.8300		1330940000	1154184000		
2019/01/28	20746.29	20759.48	20624.55	20649	20642.7640		1065020000	1141640000		
2019/01/29	20555.44	20673.66	20406.22	20664.64	20651.1100		1182370000	1175928000		
2019/01/30	20701.62	20706.27	20527.53	20556.54	20643.6740		1438960000	1233344000		
2019/01/31	20832.91	20869.42	20682.91	20773.49	20683.4460		1359570000	1275372000		
2019/02/01	20797.03	20929.63	20741.98	20788.39	20686.4120		1418070000	1292798000		
2019/02/04	20831.9	20922.58	20823.68	20883.77	20733.3660		1328950000	1345584000		
2019/02/05	20960.47	20981.23	20823.18	20844.45	20769.3280		1228360000	1354782000		
2019/02/06	20928.87	20971.66	20860.99	20874.06	20832.8320		1250150000	1317020000		
2019/02/07	20812.22	20844.77	20665.51	20751.28	20828.3900		1250750000	1295256000		
2019/02/08	20510.5	20562.39	20315.31	20333.17	20737.3460		1463830000	1304408000		
2019/02/12	20442.55	20885.88	20428.57	20864.21	20733.4340		1460750000	1330768000		
2019/02/13	21029.93	21213.74	20992.88	21144.48	20793.4400		1413200000	1367736000		
2019/02/14	21147.89	21235.62	21102.16	21139.71	20846.5700		1345170000	1386740000		
2019/02/15	21051.51	21051.51	20853.33	20900.63	20876.4400		1277820000	1392154000		
2019/02/18	21217.32	21306.36	21189.97	21281.85	21066.1760		1190240000	1337436000		
2019/02/19	21256.58	21344.17	21217.16	21302.65	21153.8640		1066250000	1258536000		
2019/02/20	21346.04	21494.85	21315.39	21431.49	21211.2660		1168360000	1209568000		
