filename,true_class,estimate_class,estimate_likelihood_max,estimate_likelihood_class0,estimate_likelihood_class1
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0149.jpg,1,1,1.0,2.3362768e-11,1.0
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0744.jpg,1,1,1.0,3.5872082e-15,1.0
case_M_20181003094031_0U62363100354631_1_001_002-1_a13_ayy_image0298.jpg,1,1,1.0,7.9172625e-16,1.0
case_M_20181003094031_0U62363100354631_1_001_002-1_a13_ayy_image0281.jpg,1,1,1.0,4.870154e-16,1.0
case_M_20181109094641_0U62372110931241_1_003_001-1_Negative_ayy_image000139.jpg,0,0,1.0,1.0,1.4973583e-10
case_M_20181109094641_0U62372110931241_1_003_001-1_Negative_ayy_image000253.jpg,0,0,0.99999976,0.99999976,2.6455714e-07
case_M_20181003094031_0U62363100354631_1_001_002-1_a13_ayy_image0161.jpg,1,1,1.0,2.7842807e-17,1.0
case_M_20181109094641_0U62372110931241_1_003_001-1_Negative_ayy_image000069.jpg,0,0,1.0,1.0,1.3569557e-09
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0043.jpg,1,1,1.0,3.8709595e-11,1.0
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0609.jpg,1,1,1.0,2.5268585e-12,1.0
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0130.jpg,1,1,1.0,1.2822243e-11,1.0
case_M_20181003094031_0U62363100354631_1_001_002-1_a13_ayy_image0074.jpg,1,1,1.0,1.3946793e-15,1.0
case_M_20181003094031_0U62363100354631_1_001_002-1_a3_ayy_image0057.jpg,1,1,1.0,2.245154e-13,1.0
case_M_20181109094641_0U62372110931241_1_003_001-1_Negative_ayy_image000584.jpg,0,0,1.0,1.0,2.256518e-09
case_M_20181003094031_0U62363100354631_1_001_002-1_a35_ayy_image0034.jpg,1,1,1.0,8.488124e-15,1.0
case_M_20181109094641_0U62372110931241_1_003_001-1_Negative_ayy_image000491.jpg,0,0,1.0,1.0,2.8943885e-09
case_M_20181109094641_0U62372110931241_1_003_001-1_Negative_ayy_image000543.jpg,0,0,1.0,1.0,8.9428276e-10
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0668.jpg,1,1,1.0,7.2778616e-14,1.0
case_M_20181003094031_0U62363100354631_1_001_002-1_a13_ayy_image0329.jpg,1,1,1.0,1.9446787e-14,1.0
case_M_20181109094641_0U62372110931241_1_003_001-1_Negative_ayy_image000609.jpg,0,0,1.0,1.0,1.3684105e-08
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0634.jpg,1,1,1.0,1.1357343e-11,1.0
case_M_20181109094641_0U62372110931241_1_003_001-1_Negative_ayy_image000353.jpg,0,0,1.0,1.0,6.9164646e-11
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0593.jpg,1,1,1.0,1.5938138e-14,1.0
case_M_20181003094031_0U62363100354631_1_001_002-1_a13_ayy_image0291.jpg,1,1,1.0,5.9689046e-16,1.0
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0569.jpg,1,1,1.0,1.3596836e-13,1.0
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0165.jpg,1,1,1.0,1.2573598e-10,1.0
case_M_20181003094031_0U62363100354631_1_001_002-1_a13_ayy_image0225.jpg,1,1,1.0,2.3180003e-17,1.0
case_M_20181109094641_0U62372110931241_1_003_001-1_Negative_ayy_image000214.jpg,0,0,1.0,1.0,4.0106677e-08
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0029.jpg,1,1,1.0,3.865964e-11,1.0
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0319.jpg,1,1,1.0,1.5743616e-11,1.0
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0579.jpg,1,1,1.0,8.333262e-14,1.0
case_M_20181003094031_0U62363100354631_1_001_002-1_a13_ayy_image0110.jpg,1,1,1.0,1.2893756e-15,1.0
case_M_20181003094031_0U62363100354631_1_001_002-1_a13_ayy_image0026.jpg,1,1,1.0,5.811389e-14,1.0
