ダウンロードした時刻：2024/11/27 12:12:25

,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋
年月日,最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降雪量合計(cm),降雪量合計(cm),最深積雪(cm),最深積雪(cm),日照時間(時間),日照時間(時間),平均風速(m/s),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,,
,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,,
2019/1/1,9.7,-1.4,0.0,0,0,1,0,1,8.9,0,1.9,晴,曇時々晴一時雨
2019/1/2,10.5,3.4,0.0,0,0,1,0,1,8.9,0,4.3,晴,晴後一時雨
2019/1/3,9.9,1.7,0.0,0,0,1,0,1,9.4,0,4.3,晴,快晴
2019/1/4,10.3,-0.1,0,1,0,1,0,1,9.3,0,2.1,晴,曇後雨
2019/1/5,10.3,4.3,0.0,0,0,1,0,1,2.0,0,2.8,曇一時雨後晴,晴
2019/1/6,8.7,2.6,0,1,0,1,0,1,5.3,0,3.6,曇時々晴,晴
2019/1/7,10.5,0.3,0,1,0,1,0,1,9.2,0,3.3,快晴,曇時々晴
2019/1/8,10.5,2.5,0.0,0,0,1,0,1,4.1,0,2.2,晴時々薄曇,曇時々晴一時雨
2019/1/9,7.7,0.6,0.0,0,0,1,0,1,6.9,0,5.0,晴,快晴
2019/1/10,4.2,-2.1,0.0,0,0,1,0,1,0.2,0,1.8,曇一時晴,曇一時雨
2019/1/11,12.3,1.4,0.0,0,0,1,0,1,7.4,0,3.4,晴,薄曇一時晴
2019/1/12,8.3,2.4,0,1,0,1,0,1,0.2,0,2.1,曇,晴
2019/1/13,13.5,0.7,0,1,0,1,0,1,9.7,0,3.2,快晴,快晴
2019/1/14,12.6,-0.2,0,1,0,1,0,1,9.7,0,2.7,快晴,晴後曇
2019/1/15,9.4,1.3,0.5,0,0,1,0,1,1.2,0,1.5,曇後時々雨,曇後晴一時雨
2019/1/16,11.2,3.4,0.0,0,0,1,0,1,7.6,0,3.9,晴,晴後曇一時雨
2019/1/17,11.3,2.5,0.0,0,0,1,0,1,5.8,0,4.0,曇時々晴,曇一時雨後晴
2019/1/18,9.4,2.3,0,1,0,1,0,1,8.3,0,4.7,晴,晴
2019/1/19,11.7,0.1,0,1,0,1,0,1,9.2,0,2.1,晴,晴後曇一時雨
2019/1/20,8.8,3.8,1.0,0,0,1,0,1,0.7,0,2.9,雨後曇,快晴
2019/1/21,8.6,1.8,0.0,0,0,1,0,1,3.3,0,3.2,曇時々晴,曇時々晴一時雨
2019/1/22,11.0,2.7,0.0,0,0,1,0,1,6.1,0,4.2,晴一時曇,晴
2019/1/23,10.4,-0.4,0.0,0,0,1,0,1,6.4,0,1.4,晴一時曇,晴時々曇一時雨
2019/1/24,8.6,1.9,0.0,0,0,1,0,1,8.0,0,5.9,晴,晴
2019/1/25,8.3,-0.4,0,1,0,1,0,1,4.9,0,2.2,晴後薄曇,曇後時々晴
2019/1/26,7.0,0.0,0.0,0,0,1,0,1,8.2,0,4.8,晴一時曇,晴
2019/1/27,8.8,-1.2,0,1,0,1,0,1,9.7,0,4.3,晴,晴後曇
2019/1/28,7.5,0.7,0.0,0,0,1,0,1,1.7,0,1.8,曇後時々雨一時晴,晴一時曇
2019/1/29,8.5,1.3,0,1,0,1,0,1,8.4,0,4.9,晴,晴後薄曇
2019/1/30,11.5,-0.9,0,1,0,1,0,1,9.8,0,1.8,晴一時薄曇,晴後曇一時雨
2019/1/31,8.3,3.3,13.0,0,0,1,0,1,0.0,0,2.8,雨時々曇,曇一時雨後晴
2019/2/1,7.7,1.1,0,1,0,1,0,1,9.5,0,4.8,晴,晴
2019/2/2,11.9,-0.5,0,1,0,1,0,1,8.6,0,2.6,晴,晴
2019/2/3,10.3,1.4,9.5,0,0,1,0,1,3.1,0,2.0,晴後雨,雨後一時曇
2019/2/4,14.6,5.7,1.0,0,0,1,0,1,5.5,0,4.5,晴,晴
2019/2/5,13.3,3.1,0,1,0,1,0,1,9.9,0,2.5,快晴,晴後曇
2019/2/6,10.9,5.1,1.0,0,0,1,0,1,3.1,0,1.7,曇時々雨後晴,晴
2019/2/7,15.2,3.0,0,1,0,1,0,1,4.5,0,1.9,曇一時晴,曇後晴
2019/2/8,10.7,2.0,0,1,0,1,0,1,7.3,0,5.1,薄曇時々晴,晴後薄曇
2019/2/9,7.3,1.5,0.0,0,0,1,0,1,0.8,0,2.6,曇,曇後晴
2019/2/10,7.9,2.0,0.0,0,0,1,0,1,8.2,0,4.9,晴後薄曇,曇
2019/2/11,7.8,2.3,0.0,0,0,1,0,1,0.0,0,2.6,曇,晴一時曇
2019/2/12,10.6,1.8,0.0,0,0,1,0,1,6.7,0,3.7,晴一時曇,晴後薄曇
2019/2/13,12.0,2.5,0.0,0,0,1,0,1,5.8,0,2.9,晴一時薄曇,曇時々晴一時雨
2019/2/14,8.3,1.1,0.0,0,0,1,0,1,5.3,0,4.6,薄曇後一時晴,晴後一時薄曇
2019/2/15,7.3,-0.2,0,1,0,1,0,1,2.9,0,1.8,曇時々晴,曇
2019/2/16,12.8,4.3,0.0,0,0,1,0,1,5.7,0,4.0,曇後晴,晴一時曇
2019/2/17,11.1,1.9,0,1,0,1,0,1,9.6,0,4.8,晴,快晴
2019/2/18,14.5,0.0,0,1,0,1,0,1,10.0,0,2.2,晴後一時薄曇,曇
2019/2/19,8.9,6.5,21.5,0,0,1,0,1,0.0,0,1.7,雨,雨後曇
2019/2/20,17.8,7.8,0.0,0,0,1,0,1,4.0,0,3.7,曇後晴,晴一時曇
2019/2/21,12.2,5.0,0,1,0,1,0,1,9.7,0,5.8,晴,晴
2019/2/22,15.0,3.4,0,1,0,1,0,1,5.5,0,2.4,曇,曇
2019/2/23,14.8,5.5,0,1,0,1,0,1,10.0,0,5.6,晴,晴後薄曇
2019/2/24,15.5,3.8,0,1,0,1,0,1,6.6,0,2.2,薄曇,曇後一時晴
2019/2/25,18.0,7.6,0.0,0,0,1,0,1,7.1,0,3.2,薄曇時々晴,薄曇一時晴
2019/2/26,15.8,6.1,0,1,0,1,0,1,10.3,0,4.7,快晴,晴後一時薄曇
2019/2/27,13.2,3.9,0,1,0,1,0,1,1.4,0,2.1,曇,曇後一時雨
2019/2/28,11.5,7.5,23.5,0,0,1,0,1,0.0,0,3.1,雨後一時曇,晴一時曇
2019/3/1,16.0,6.9,0,1,0,1,0,1,10.1,0,5.2,晴一時薄曇,快晴
2019/3/2,16.4,4.7,0,1,0,1,0,1,10.0,0,2.9,晴,曇
2019/3/3,11.4,7.7,0.5,0,0,1,0,1,0.0,0,1.5,雨時々曇,雨一時曇
2019/3/4,14.5,7.9,9.5,0,0,1,0,1,0.9,0,3.5,曇時々雨,曇後晴
2019/3/5,17.5,7.0,0,1,0,1,0,1,9.8,0,3.4,晴後一時薄曇,曇
2019/3/6,16.2,8.8,8.0,0,0,1,0,1,0.8,0,1.5,曇後一時雨,雨
2019/3/7,16.3,6.2,1.5,0,0,1,0,1,8.4,0,5.9,曇時々晴,晴
2019/3/8,13.2,3.6,0,1,0,1,0,1,10.8,0,5.1,快晴,快晴
2019/3/9,16.2,1.5,0,1,0,1,0,1,10.9,0,2.3,晴後薄曇,薄曇時々晴
2019/3/10,11.5,6.8,28.0,0,0,1,0,1,0.7,0,1.7,曇後雨,大雨
2019/3/11,16.0,9.1,13.0,0,0,1,0,1,4.5,0,4.2,雨後晴,晴一時曇
2019/3/12,15.6,5.0,0.5,0,0,1,0,1,4.6,0,2.0,晴時々曇,曇一時雨後晴
2019/3/13,13.9,2.6,0.0,0,0,1,0,1,6.6,0,5.0,晴時々曇,晴
2019/3/14,11.4,2.6,0.0,0,0,1,0,1,6.7,0,3.4,晴時々曇,晴
2019/3/15,14.8,1.6,0,1,0,1,0,1,8.9,0,2.1,晴後一時薄曇,曇一時晴
2019/3/16,14.3,5.8,0.0,0,0,1,0,1,9.0,0,4.1,晴一時曇,晴
2019/3/17,9.3,2.3,1.0,0,0,1,0,1,3.6,0,2.9,曇時々雨,快晴
2019/3/18,15.8,1.4,0,1,0,1,0,1,10.2,0,2.6,晴後薄曇,薄曇一時晴
2019/3/19,17.3,6.8,0,1,0,1,0,1,1.5,0,1.7,曇,晴一時薄曇
2019/3/20,21.7,6.7,0,1,0,1,0,1,9.6,0,2.8,晴後薄曇,曇後一時雨
2019/3/21,18.1,11.9,7.0,0,0,1,0,1,0.0,0,3.2,雨後曇,曇
2019/3/22,17.1,6.4,0.0,0,0,1,0,1,9.1,0,6.8,薄曇後晴,晴一時薄曇
2019/3/23,12.7,4.6,0,1,0,1,0,1,4.6,0,5.1,曇後一時晴,晴一時曇
2019/3/24,12.9,2.5,0.0,0,0,1,0,1,10.7,0,4.0,晴,晴
2019/3/25,14.7,3.3,0,1,0,1,0,1,6.8,0,1.5,晴後薄曇,曇
2019/3/26,19.3,7.6,0.0,0,0,1,0,1,8.3,0,4.1,曇後晴,曇後晴
2019/3/27,20.1,6.3,0,1,0,1,0,1,9.7,0,2.8,晴後薄曇,曇一時晴
2019/3/28,17.1,8.3,0,1,0,1,0,1,6.1,0,4.4,薄曇,曇
2019/3/29,17.7,6.4,0,1,0,1,0,1,7.7,0,2.4,薄曇,薄曇一時晴
2019/3/30,16.3,9.6,9.5,0,0,1,0,1,0.0,0,2.2,曇後雨,雨時々晴
2019/3/31,12.7,6.4,1.5,0,0,1,0,1,5.5,0,5.1,晴時々曇一時雨,晴後曇一時雨
2019/4/1,14.5,4.8,0.0,0,0,1,0,1,11.1,0,4.9,晴,晴
2019/4/2,11.8,3.1,0.0,0,0,1,0,1,8.5,0,4.5,晴後一時雨,晴
2019/4/3,12.8,2.3,0,1,0,1,0,1,11.1,0,4.7,晴,快晴
2019/4/4,17.2,2.1,0,1,0,1,0,1,11.8,0,2.7,快晴,晴後一時薄曇
2019/4/5,21.1,5.8,0,1,0,1,0,1,9.8,0,2.4,薄曇時々晴,曇時々晴
2019/4/6,21.1,11.9,0.0,0,0,1,0,1,9.0,0,3.3,晴一時曇,快晴
2019/4/7,23.5,9.1,0,1,0,1,0,1,9.9,0,3.2,晴後一時曇,曇後雨
2019/4/8,20.8,10.0,5.5,0,0,1,0,1,7.9,0,5.3,晴時々曇,晴
2019/4/9,17.9,7.9,0,1,0,1,0,1,11.7,0,4.9,晴,曇後雨
2019/4/10,11.8,6.9,29.0,0,0,1,0,1,0.0,0,2.7,雨,雨後晴
2019/4/11,16.6,8.3,0.0,0,0,1,0,1,11.0,0,6.4,晴後薄曇,曇
2019/4/12,16.8,9.1,0.0,0,0,1,0,1,6.6,0,3.4,薄曇,晴
2019/4/13,18.5,6.4,0.0,0,0,1,0,1,10.2,0,3.2,晴後一時薄曇,曇後一時晴
2019/4/14,18.0,11.0,16.5,0,0,1,0,1,1.0,0,3.3,曇一時晴後雨,雨後時々曇
2019/4/15,17.7,9.4,1.0,0,0,1,0,1,11.9,0,6.0,晴,快晴
2019/4/16,21.7,6.6,0,1,0,1,0,1,11.2,0,2.7,晴後一時薄曇,薄曇
2019/4/17,15.4,11.2,13.0,0,0,1,0,1,0.0,0,1.8,曇後雨,曇一時雨後晴
2019/4/18,23.6,10.3,0.0,0,0,1,0,1,10.6,0,2.6,晴後時々薄曇,晴後曇
2019/4/19,22.2,12.4,0.0,0,0,1,0,1,4.7,0,3.8,曇,晴一時薄曇
2019/4/20,21.8,9.0,0,1,0,1,0,1,10.6,0,3.3,晴,晴
2019/4/21,24.3,12.1,0,1,0,1,0,1,6.1,0,1.9,晴後曇,曇
2019/4/22,28.4,16.5,0,1,0,1,0,1,11.1,0,2.8,薄曇後晴,晴後一時曇
2019/4/23,24.6,14.7,0.0,0,0,1,0,1,5.3,0,3.1,薄曇,曇後雨
2019/4/24,20.2,17.0,11.5,0,0,1,0,1,0.0,0,3.9,雨時々曇,雨
2019/4/25,25.7,18.0,5.0,0,0,1,0,1,3.3,0,2.3,曇一時雨後晴,曇一時晴
2019/4/26,23.6,13.5,2.0,0,0,1,0,1,4.1,0,3.4,曇一時雨後晴,曇時々晴一時雨
2019/4/27,15.8,8.7,0.0,0,0,1,0,1,12.8,0,7.5,快晴,晴
2019/4/28,18.9,6.1,0,1,0,1,0,1,7.8,0,3.0,曇,曇一時晴
2019/4/29,19.0,12.4,5.0,0,0,1,0,1,0.0,0,2.1,曇,雨
2019/4/30,17.9,12.4,29.0,0,0,1,0,1,0.0,0,2.0,雨後時々曇,曇後一時雨
2019/5/1,17.9,14.9,4.5,0,0,1,0,1,0.0,0,2.3,雨時々曇,曇後晴
2019/5/2,23.3,13.4,0,1,0,1,0,1,11.6,0,4.5,晴,晴後時々薄曇
2019/5/3,26.9,12.4,0,1,0,1,0,1,11.2,0,3.1,薄曇,晴一時薄曇
2019/5/4,27.6,13.7,0,1,0,1,0,1,13.0,0,3.0,快晴,晴後薄曇
2019/5/5,25.7,13.9,0,1,0,1,0,1,11.6,0,3.1,薄曇時々晴,薄曇時々晴
2019/5/6,24.9,13.7,7.0,0,0,1,0,1,7.6,0,3.7,曇時々晴後一時雨、雷を伴う,曇時々雨後晴、雷を伴う
2019/5/7,20.7,10.9,0,1,0,1,0,1,13.4,0,5.8,快晴,快晴
2019/5/8,23.3,8.5,0,1,0,1,0,1,12.5,0,2.9,晴後一時薄曇,薄曇
2019/5/9,21.8,13.5,0.0,0,0,1,0,1,2.7,0,1.6,曇,晴
2019/5/10,27.0,12.7,0,1,0,1,0,1,11.5,0,2.5,薄曇一時晴,薄曇後一時晴
2019/5/11,28.7,14.5,0,1,0,1,0,1,12.6,0,2.8,晴,晴
2019/5/12,28.7,16.0,0,1,0,1,0,1,12.2,0,3.2,薄曇一時晴,薄曇後一時晴
2019/5/13,27.3,16.7,0,1,0,1,0,1,8.2,0,3.2,晴後薄曇,曇
2019/5/14,22.3,15.6,18.5,0,0,1,0,1,0.0,0,2.5,雨一時曇、雷を伴う,曇後一時晴
2019/5/15,24.6,15.5,0,1,0,1,0,1,7.6,0,2.7,曇一時晴,曇時々晴
2019/5/16,25.2,16.9,0,1,0,1,0,1,8.9,0,2.8,晴時々薄曇,晴時々曇
2019/5/17,26.8,18.0,0,1,0,1,0,1,9.1,0,3.5,晴後一時薄曇,薄曇一時晴
2019/5/18,26.2,17.2,0,1,0,1,0,1,4.3,0,4.4,薄曇,曇後時々晴
2019/5/19,26.0,17.2,0.0,0,0,1,0,1,8.0,0,4.8,晴時々曇,薄曇
2019/5/20,24.4,17.7,1.5,0,0,1,0,1,1.4,0,4.8,曇後一時雨,大雨一時曇
2019/5/21,25.8,16.9,72.0,0,0,1,0,1,6.9,0,4.7,雨後晴時々薄曇,晴
2019/5/22,27.3,14.3,0,1,0,1,0,1,12.7,0,3.5,晴時々薄曇,快晴
2019/5/23,29.6,13.6,0,1,0,1,0,1,13.5,0,2.5,快晴,快晴
