ダウンロードした時刻：2024/11/27 12:12:43

,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪
年月日,最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降雪量合計(cm),降雪量合計(cm),最深積雪(cm),最深積雪(cm),日照時間(時間),日照時間(時間),平均風速(m/s),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,,
,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,,
2019/1/1,10.0,1.0,1.5,0,0,1,0,1,6.8,0,1.8,晴後曇,曇時々雨後晴、雷を伴う
2019/1/2,9.4,4.2,0.0,0,0,1,0,1,5.4,0,2.1,晴時々曇,快晴
2019/1/3,10.1,1.8,0.0,0,0,1,0,1,4.1,0,1.7,晴後一時曇,晴
2019/1/4,10.8,1.1,0,1,0,1,0,1,8.3,0,1.0,晴後時々曇,曇後一時雨
2019/1/5,12.0,6.9,0.0,0,0,1,0,1,1.9,0,1.4,曇時々晴一時雨,晴時々曇
2019/1/6,8.5,4.7,0.0,0,0,1,0,1,2.6,0,1.9,曇後時々晴,晴一時曇
2019/1/7,9.6,1.8,0,1,0,1,0,1,7.7,0,1.5,晴,晴一時薄曇
2019/1/8,11.9,4.0,0,1,0,1,0,1,7.4,0,2.0,薄曇後晴,晴後一時雨、みぞれを伴う
2019/1/9,8.0,2.5,0.0,0,0,1,0,1,5.8,0,2.8,晴後一時曇,晴後一時曇
2019/1/10,8.2,0.7,0,1,0,1,0,1,0.0,0,1.3,曇,曇
2019/1/11,12.7,5.6,0,1,0,1,0,1,4.1,0,2.0,曇後一時晴,曇一時晴
2019/1/12,7.9,3.9,0.0,0,0,1,0,1,0.0,0,1.4,曇,晴後時々曇
2019/1/13,12.4,3.2,0,1,0,1,0,1,8.9,0,1.7,晴,晴
2019/1/14,12.3,2.6,0,1,0,1,0,1,8.3,0,1.1,晴,晴後薄曇
2019/1/15,8.5,3.0,1.0,0,0,1,0,1,0.5,0,1.5,曇時々雨,曇後一時晴
2019/1/16,10.9,3.8,0.0,0,0,1,0,1,3.8,0,2.0,晴一時曇,晴時々曇
2019/1/17,10.2,2.9,0,1,0,1,0,1,7.0,0,2.8,曇時々晴,曇時々晴一時雨
2019/1/18,9.3,4.9,0.0,0,0,1,0,1,3.7,0,2.1,晴時々曇,晴一時曇
2019/1/19,12.1,2.4,0,1,0,1,0,1,9.7,0,1.4,晴,晴後曇時々雨
2019/1/20,11.6,5.5,2.0,0,0,1,0,1,1.3,0,2.1,雨後晴時々曇,曇一時雨後晴
2019/1/21,10.2,4.6,0.0,0,0,1,0,1,6.5,0,2.9,晴後時々曇,晴時々曇
2019/1/22,11.6,4.7,0,1,0,1,0,1,5.2,0,2.5,晴,晴
2019/1/23,12.4,2.2,0,1,0,1,0,1,6.6,0,2.2,晴一時曇,晴後曇一時雨
2019/1/24,9.7,4.6,0.0,0,0,1,0,1,6.1,0,3.0,晴,晴後曇
2019/1/25,9.7,3.6,0.0,0,0,1,0,1,5.1,0,1.9,曇一時晴,曇時々晴一時雨
2019/1/26,7.5,1.4,0.0,0,0,1,0,1,3.8,0,3.6,曇後晴,晴後曇一時雪
2019/1/27,8.5,2.1,0.0,0,0,1,0,1,5.1,0,2.3,曇一時雪後晴,晴
2019/1/28,10.5,1.4,0.0,0,0,1,0,1,0.7,0,1.9,曇後一時雨,晴一時曇
2019/1/29,8.7,3.0,0.0,0,0,1,0,1,2.6,0,2.2,曇時々晴,曇一時晴
2019/1/30,11.1,1.6,0,1,0,1,0,1,8.6,0,1.2,晴一時薄曇,曇時々晴
2019/1/31,7.0,4.2,18.0,0,0,1,0,1,0.0,0,1.9,雨時々曇,曇時々晴一時雨
2019/2/1,8.9,2.5,0.0,0,0,1,0,1,6.7,0,2.4,晴一時雪,晴一時曇
2019/2/2,10.9,2.3,0,1,0,1,0,1,10.0,0,2.3,快晴,晴
2019/2/3,11.0,2.6,5.0,0,0,1,0,1,1.7,0,1.9,曇時々晴後時々雨,雨時々曇
2019/2/4,14.2,6.9,0.5,0,0,1,0,1,1.9,0,2.7,曇時々晴,晴
2019/2/5,13.1,4.1,0,1,0,1,0,1,9.9,0,1.3,晴,曇後時々雨
2019/2/6,12.8,6.6,8.5,0,0,1,0,1,4.2,0,1.8,雨後晴,晴後薄曇
2019/2/7,12.6,5.9,0,1,0,1,0,1,0.5,0,1.5,曇,曇後晴
2019/2/8,10.6,3.4,0,1,0,1,0,1,2.2,0,3.3,曇一時晴,曇一時晴
2019/2/9,7.4,2.9,0,1,0,1,0,1,0.7,0,2.2,曇,薄曇時々晴
2019/2/10,7.2,2.5,0,1,0,1,0,1,5.4,0,3.0,晴後曇,曇
2019/2/11,6.1,2.7,0.0,0,0,1,0,1,0.0,0,2.2,みぞれ時々雪後曇,晴一時曇
2019/2/12,10.5,4.2,0,1,0,1,0,1,7.1,0,2.1,晴,曇
2019/2/13,10.7,4.4,0.0,0,0,1,0,1,4.5,0,1.6,晴一時曇,晴後時々薄曇
2019/2/14,7.9,3.0,0,1,0,1,0,1,1.9,0,2.8,曇,曇後晴
2019/2/15,6.7,1.0,0.0,0,0,1,0,1,1.8,0,1.2,曇一時晴,曇
2019/2/16,13.0,5.1,0.0,0,0,1,0,1,5.0,0,2.6,曇後一時雨,曇
2019/2/17,9.4,3.6,0.0,0,0,1,0,1,4.1,0,1.8,曇一時晴後一時雨,晴
2019/2/18,12.6,1.0,0,1,0,1,0,1,10.4,0,1.1,薄曇後時々晴,曇一時晴後時々雨
2019/2/19,11.7,6.6,12.0,0,0,1,0,1,0.0,0,2.5,雨,曇
2019/2/20,16.3,9.2,0.0,0,0,1,0,1,1.6,0,2.3,曇一時晴,曇時々晴
2019/2/21,10.1,7.2,0.0,0,0,1,0,1,0.6,0,2.4,曇,曇
2019/2/22,13.2,5.7,0,1,0,1,0,1,5.3,0,1.9,曇一時晴,曇後一時晴
2019/2/23,13.2,5.9,0.0,0,0,1,0,1,7.7,0,3.6,晴時々曇,薄曇時々晴
2019/2/24,14.3,3.6,0,1,0,1,0,1,8.9,0,1.3,薄曇,快晴
2019/2/25,16.2,5.5,0,1,0,1,0,1,9.0,0,1.6,晴後薄曇,薄曇時々晴
2019/2/26,15.1,6.0,0,1,0,1,0,1,10.4,0,2.9,快晴,晴
2019/2/27,12.7,4.2,0,1,0,1,0,1,2.2,0,1.7,曇,曇後時々雨
2019/2/28,11.8,8.7,16.5,0,0,1,0,1,0.0,0,2.5,雨後曇,曇後晴
2019/3/1,15.0,7.3,0,1,0,1,0,1,7.6,0,2.2,晴,晴後時々薄曇
2019/3/2,15.0,4.5,0,1,0,1,0,1,8.8,0,2.2,晴後曇,曇
2019/3/3,12.3,8.2,2.5,0,0,1,0,1,0.0,0,3.0,曇一時雨,雨
2019/3/4,11.2,7.9,18.0,0,0,1,0,1,0.0,0,2.7,雨時々曇,雨時々曇後晴
2019/3/5,15.9,7.4,0.0,0,0,1,0,1,10.1,0,1.5,晴後薄曇,曇
2019/3/6,16.9,9.0,5.0,0,0,1,0,1,1.1,0,2.2,曇後雨,雨後一時曇
2019/3/7,12.0,5.9,2.0,0,0,1,0,1,0.3,0,2.8,曇一時雨,晴時々曇
2019/3/8,13.2,5.0,0,1,0,1,0,1,9.4,0,2.8,晴,快晴
2019/3/9,14.8,2.5,0,1,0,1,0,1,11.2,0,1.8,晴後一時薄曇,曇
2019/3/10,12.7,8.6,16.0,0,0,1,0,1,0.0,0,3.6,雨時々曇,雨
2019/3/11,16.2,9.1,10.0,0,0,1,0,1,1.3,0,2.8,曇一時雨,晴一時雨
2019/3/12,15.0,6.3,0.0,0,0,1,0,1,6.6,0,2.5,晴一時曇,曇時々晴後一時雨、雷を伴う
2019/3/13,12.3,6.3,4.5,0,0,1,0,1,6.4,0,4.1,晴一時雨,快晴
2019/3/14,11.4,5.4,0.0,0,0,1,0,1,5.3,0,2.3,曇時々晴,晴
2019/3/15,15.3,3.0,0,1,0,1,0,1,10.1,0,2.0,晴,晴後一時曇
2019/3/16,11.5,3.8,2.0,0,0,1,0,1,2.5,0,2.4,曇一時雨、雷・あられを伴う,晴一時曇
2019/3/17,11.6,4.2,4.0,0,0,1,0,1,3.3,0,1.8,曇時々晴一時雨,晴
2019/3/18,14.5,3.0,0,1,0,1,0,1,10.6,0,1.4,晴後薄曇,曇後一時雨
2019/3/19,13.7,8.3,1.5,0,0,1,0,1,0.1,0,2.2,雨後曇,晴一時曇
2019/3/20,19.4,6.5,0,1,0,1,0,1,9.5,0,1.4,晴後薄曇,曇後時々雨
2019/3/21,20.0,11.8,2.0,0,0,1,0,1,0.5,0,1.5,曇一時雨,曇一時霧
2019/3/22,17.2,7.4,0.0,0,0,1,0,1,2.7,0,3.8,曇後時々晴,曇
2019/3/23,11.4,6.0,0.0,0,0,1,0,1,3.3,0,2.6,曇一時晴,晴時々曇
2019/3/24,12.1,5.2,0.0,0,0,1,0,1,7.7,0,2.0,晴一時曇,晴
2019/3/25,14.4,5.0,0,1,0,1,0,1,4.8,0,1.6,曇,曇
2019/3/26,17.0,8.9,0.0,0,0,1,0,1,7.1,0,2.4,晴,快晴
2019/3/27,18.8,8.5,0,1,0,1,0,1,10.9,0,3.0,薄曇一時晴,曇
2019/3/28,17.5,8.4,0.0,0,0,1,0,1,3.1,0,3.3,曇,薄曇
2019/3/29,17.6,7.2,0,1,0,1,0,1,8.8,0,2.0,薄曇,薄曇一時晴
2019/3/30,18.7,10.5,7.0,0,0,1,0,1,1.2,0,1.8,曇後雨,雨一時曇後晴、雷を伴う
2019/3/31,13.5,8.6,0.5,0,0,1,0,1,6.7,0,3.6,晴後曇時々雨,曇時々晴
2019/4/1,12.5,5.4,4.0,0,0,1,0,1,7.3,0,2.7,晴時々曇一時雨、雷・あられを伴う,晴時々曇
2019/4/2,11.8,4.5,0.0,0,0,1,0,1,6.2,0,2.7,晴後曇一時雨,曇時々晴
2019/4/3,13.9,4.7,0,1,0,1,0,1,9.1,0,2.1,晴一時曇,快晴
2019/4/4,16.0,4.2,0,1,0,1,0,1,12.0,0,2.2,快晴,晴後時々薄曇
2019/4/5,19.4,8.0,0,1,0,1,0,1,10.8,0,2.3,薄曇,晴
2019/4/6,20.2,10.4,0,1,0,1,0,1,11.1,0,1.9,快晴,快晴
2019/4/7,21.9,10.9,0.0,0,0,1,0,1,10.3,0,2.4,晴一時薄曇,曇後雨
2019/4/8,19.3,10.6,9.0,0,0,1,0,1,11.2,0,3.4,晴,薄曇後晴
2019/4/9,17.8,8.3,0,1,0,1,0,1,11.5,0,3.2,晴,曇後雨
2019/4/10,11.1,6.6,16.0,0,0,1,0,1,0.0,0,3.5,雨後一時曇,曇一時雨後晴
2019/4/11,16.0,8.7,0.0,0,0,1,0,1,8.0,0,3.3,晴後曇,曇
2019/4/12,17.6,9.1,0,1,0,1,0,1,7.4,0,2.7,薄曇後時々晴,晴
2019/4/13,18.7,6.9,0,1,0,1,0,1,10.0,0,1.9,晴後薄曇,曇一時晴
2019/4/14,16.0,12.3,19.5,0,0,1,0,1,0.4,0,1.4,曇後雨,雨一時曇後晴
2019/4/15,18.9,10.3,0.0,0,0,1,0,1,10.4,0,3.3,晴,晴
2019/4/16,22.1,7.7,0,1,0,1,0,1,12.3,0,1.5,晴後薄曇,曇
2019/4/17,22.1,12.7,0.0,0,0,1,0,1,2.5,0,2.2,曇後一時雨,曇後晴
2019/4/18,22.7,11.5,0,1,0,1,0,1,12.0,0,2.1,薄曇時々晴,晴後一時曇
2019/4/19,22.5,12.1,0,1,0,1,0,1,5.6,0,2.6,曇一時晴,薄曇後晴
2019/4/20,23.4,9.7,0,1,0,1,0,1,12.6,0,2.3,快晴,晴後一時曇
2019/4/21,24.9,14.8,0,1,0,1,0,1,9.7,0,2.1,晴後一時薄曇,曇
2019/4/22,27.6,16.2,0.0,0,0,1,0,1,9.8,0,2.7,晴一時曇,晴後一時薄曇
2019/4/23,27.1,14.2,0.0,0,0,1,0,1,6.6,0,2.6,薄曇,曇後時々雨
2019/4/24,24.0,18.0,1.5,0,0,1,0,1,0.0,0,2.1,曇時々雨,曇一時雨
2019/4/25,24.3,18.0,0.0,0,0,1,0,1,1.2,0,2.3,曇後一時晴,曇後一時雨
2019/4/26,23.8,12.7,4.5,0,0,1,0,1,2.7,0,3.0,曇後晴,雨時々曇
2019/4/27,16.1,9.6,0.5,0,0,1,0,1,6.4,0,3.9,晴時々曇,晴時々薄曇
2019/4/28,17.4,8.2,0,1,0,1,0,1,3.1,0,1.4,曇,曇
2019/4/29,18.3,10.9,15.0,0,0,1,0,1,0.0,0,1.7,曇後時々雨,大雨
2019/4/30,22.1,11.2,17.0,0,0,1,0,1,0.0,0,3.3,曇一時雨,曇後雨
2019/5/1,18.0,15.4,6.5,0,0,1,0,1,0.0,0,2.1,雨時々曇,曇後時々晴
2019/5/2,23.6,14.1,0,1,0,1,0,1,10.6,0,1.9,晴後一時薄曇,薄曇一時晴
2019/5/3,25.5,14.7,0,1,0,1,0,1,9.1,0,1.7,薄曇後時々晴、雷を伴う,晴
2019/5/4,27.2,13.9,0,1,0,1,0,1,12.8,0,2.3,快晴,晴後薄曇
2019/5/5,26.1,15.0,0,1,0,1,0,1,11.6,0,2.2,薄曇時々晴,晴後時々薄曇
2019/5/6,24.4,13.3,6.5,0,0,1,0,1,8.7,0,2.7,曇後一時雨、雷を伴う,曇時々雨後晴
2019/5/7,20.1,11.1,0,1,0,1,0,1,13.3,0,3.4,快晴,快晴
2019/5/8,22.4,8.7,0,1,0,1,0,1,12.1,0,2.1,晴後薄曇,曇
2019/5/9,21.8,14.9,0.0,0,0,1,0,1,2.2,0,1.5,曇後一時晴,晴時々薄曇
2019/5/10,28.0,14.3,0,1,0,1,0,1,12.5,0,1.6,薄曇,薄曇
2019/5/11,29.7,16.0,0,1,0,1,0,1,13.1,0,2.0,快晴,晴
2019/5/12,28.7,16.6,0,1,0,1,0,1,11.8,0,2.2,薄曇時々晴,晴
2019/5/13,28.2,17.3,0,1,0,1,0,1,11.9,0,2.3,晴後薄曇,曇
2019/5/14,24.2,16.4,0.5,0,0,1,0,1,0.6,0,2.4,曇後一時雨,晴一時雨後時々薄曇
2019/5/15,27.1,16.2,0,1,0,1,0,1,10.6,0,3.2,薄曇,薄曇後晴
2019/5/16,27.3,16.9,0,1,0,1,0,1,9.7,0,2.1,曇一時晴,薄曇後晴
2019/5/17,27.2,17.2,0,1,0,1,0,1,8.8,0,2.4,曇一時晴,曇
2019/5/18,25.1,18.9,0,1,0,1,0,1,1.6,0,3.9,曇,曇後晴
2019/5/19,27.8,18.6,0,1,0,1,0,1,7.0,0,4.2,薄曇,曇
2019/5/20,27.2,19.3,8.5,0,0,1,0,1,1.7,0,3.4,曇後時々雨,大雨一時曇
