ダウンロードした時刻：2024/11/27 12:09:34

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降雪量合計(cm),降雪量合計(cm),最深積雪(cm),最深積雪(cm),日照時間(時間),日照時間(時間),平均風速(m/s),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,,
,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,,
2019/1/1,10.7,0.9,0,1,0,1,0,1,8.9,0,2.3,晴,快晴
2019/1/2,10.9,2.2,0,1,0,1,0,1,8.7,0,2.9,快晴,快晴
2019/1/3,10.9,-0.3,0,1,0,1,0,1,8.9,0,3.1,快晴,快晴
2019/1/4,9.8,0.2,0,1,0,1,0,1,8.9,0,2.0,快晴,晴
2019/1/5,14.0,0.9,0,1,0,1,0,1,8.9,0,2.1,快晴,晴後一時曇
2019/1/6,8.0,2.4,0,1,0,1,0,1,2.7,0,3.0,晴後曇,晴一時曇
2019/1/7,10.6,0.4,0,1,0,1,0,1,8.8,0,2.8,快晴,晴一時薄曇
2019/1/8,9.8,0.7,0,1,0,1,0,1,8.5,0,1.6,晴一時薄曇,薄曇後晴
2019/1/9,8.0,1.0,0,1,0,1,0,1,9.0,0,4.7,快晴,快晴
2019/1/10,5.2,-1.2,0,1,0,1,0,1,1.8,0,1.8,曇時々晴,快晴
2019/1/11,12.2,-0.2,0,1,0,1,0,1,8.8,0,2.9,晴,晴後曇
2019/1/12,6.2,2.7,0.0,0,0,1,0,1,0.0,0,2.0,曇一時雪,雨
2019/1/13,10.1,3.9,0.0,0,0,1,0,1,6.6,0,2.2,晴一時曇,晴
2019/1/14,9.8,1.3,0,1,0,1,0,1,9.1,0,2.0,快晴,快晴
2019/1/15,10.5,0.4,0.5,0,0,1,0,1,2.9,0,2.3,曇時々晴後一時雨,晴時々曇
2019/1/16,11.3,1.8,0,1,0,1,0,1,6.8,0,2.9,晴後曇,曇時々晴
2019/1/17,11.6,2.0,0,1,0,1,0,1,8.8,0,2.2,晴,快晴
2019/1/18,10.0,2.8,0,1,0,1,0,1,9.2,0,3.9,快晴,快晴
2019/1/19,11.7,1.9,0,1,0,1,0,1,9.0,0,2.5,晴,晴後一時曇
2019/1/20,12.0,1.8,0,1,0,1,0,1,8.1,0,2.4,晴一時曇,快晴
2019/1/21,10.5,2.5,0,1,0,1,0,1,9.2,0,3.2,快晴,快晴
2019/1/22,10.6,-0.2,0,1,0,1,0,1,8.7,0,2.7,晴,晴後曇
2019/1/23,11.2,1.7,0,1,0,1,0,1,9.0,0,2.6,晴,快晴
2019/1/24,10.2,3.4,0,1,0,1,0,1,9.2,0,4.4,快晴,晴
2019/1/25,10.0,2.8,0,1,0,1,0,1,3.5,0,3.0,晴後曇,曇後時々晴
2019/1/26,9.9,1.5,0,1,0,1,0,1,6.1,0,4.4,晴後一時曇,快晴
2019/1/27,9.7,1.1,0,1,0,1,0,1,9.4,0,4.4,快晴,晴後一時曇
2019/1/28,13.2,0.0,0,1,0,1,0,1,5.0,0,2.6,曇後晴,快晴
2019/1/29,9.9,3.0,0,1,0,1,0,1,9.3,0,5.3,快晴,快晴
2019/1/30,10.0,0.2,0,1,0,1,0,1,8.4,0,1.9,晴一時薄曇,晴時々薄曇
2019/1/31,11.2,1.7,15.5,0,0,1,0,1,0.0,0,1.9,曇後一時雨,雨一時みぞれ後晴、雷を伴う
2019/2/1,8.3,1.3,0,1,0,1,0,1,9.4,0,4.1,快晴,快晴
2019/2/2,12.6,-0.9,0,1,0,1,0,1,9.5,0,2.0,快晴,晴一時薄曇
2019/2/3,13.4,3.0,0,1,0,1,0,1,8.5,0,2.1,晴,晴後時々曇
2019/2/4,19.4,6.7,0.0,0,0,1,0,1,8.9,0,4.3,晴,晴後曇
2019/2/5,8.8,5.3,0.0,0,0,1,0,1,0.0,0,2.4,曇,曇時々晴
2019/2/6,7.7,3.9,15.0,0,0,1,0,1,0.5,0,2.3,雨後一時晴,快晴
2019/2/7,16.5,3.9,0,1,0,1,0,1,6.6,0,2.2,薄曇一時晴,薄曇後晴
2019/2/8,10.6,3.3,0,1,0,1,0,1,3.5,0,3.8,晴後曇,曇一時雪
2019/2/9,3.5,-0.5,2.0,0,0,1,0,0,0.0,0,2.6,雪後一時曇,みぞれ一時雪後薄曇
2019/2/10,7.9,-1.2,0.0,0,0,1,0,0,8.7,0,2.9,晴後薄曇,曇後一時雪
2019/2/11,4.6,0.4,0.0,0,0,1,0,0,0.0,0,1.8,雪後曇,曇後晴
2019/2/12,11.1,0.9,0,1,0,1,0,1,4.9,0,2.7,晴後曇,曇一時晴
2019/2/13,8.6,3.3,0.0,0,0,1,0,1,1.1,0,2.2,曇後一時晴,曇後一時晴
2019/2/14,8.5,1.8,0,1,0,1,0,1,7.4,0,3.8,薄曇時々晴,晴時々曇
2019/2/15,5.3,0.0,0.0,0,0,1,0,1,0.0,0,2.0,曇一時雪後一時晴,曇
2019/2/16,13.9,2.0,0,1,0,1,0,1,6.0,0,2.3,曇時々晴,晴時々曇
2019/2/17,11.8,3.4,0,1,0,1,0,1,6.4,0,3.8,晴一時曇,快晴
2019/2/18,14.6,2.0,0,1,0,1,0,1,9.9,0,2.4,晴,曇一時晴
2019/2/19,12.8,6.1,1.5,0,0,1,0,1,0.0,0,2.0,曇時々雨,雨後曇
2019/2/20,19.5,5.4,0.5,0,0,1,0,1,6.5,0,2.3,晴一時曇,雨時々曇後晴
2019/2/21,14.8,7.3,0.0,0,0,1,0,1,7.0,0,3.9,晴時々曇,晴時々曇
2019/2/22,13.7,4.1,0,1,0,1,0,1,7.9,0,2.5,薄曇一時晴,曇
2019/2/23,14.7,5.6,0.0,0,0,1,0,1,8.2,0,4.0,晴一時曇,晴後一時薄曇
2019/2/24,13.6,2.3,0,1,0,1,0,1,9.3,0,2.6,薄曇時々晴,曇時々晴
2019/2/25,17.1,6.6,0.0,0,0,1,0,1,4.1,0,1.8,曇後一時晴,曇
2019/2/26,12.5,7.8,0.0,0,0,1,0,1,2.4,0,2.6,曇一時雨後晴,晴時々曇
2019/2/27,10.6,4.0,0.5,0,0,1,0,1,1.3,0,2.0,曇一時晴,雨後曇
2019/2/28,7.6,5.1,22.5,0,0,1,0,1,0.0,0,2.3,雨,雨一時曇
2019/3/1,13.1,6.5,1.5,0,0,1,0,1,2.4,0,2.0,曇時々雨後晴,晴時々曇
2019/3/2,14.7,6.4,0,1,0,1,0,1,9.6,0,3.6,晴,曇一時晴
2019/3/3,10.4,4.4,13.5,0,0,1,0,1,0.0,0,2.7,雨一時曇,雨
2019/3/4,9.5,5.4,27.5,0,0,1,0,1,0.0,0,3.5,雨,雨後一時曇
2019/3/5,15.8,4.3,0.5,0,0,1,0,1,9.1,0,2.4,晴,曇時々雨
2019/3/6,14.2,8.0,3.0,0,0,1,0,1,0.0,0,1.5,曇,雨一時曇
2019/3/7,10.3,4.3,28.0,0,0,1,0,1,0.0,0,2.6,雨,晴一時雨
2019/3/8,12.5,3.9,0,1,0,1,0,1,11.3,0,4.8,快晴,快晴
2019/3/9,16.9,2.3,0,1,0,1,0,1,11.3,0,3.6,晴後一時薄曇,晴後薄曇
2019/3/10,16.4,6.9,6.5,0,0,1,0,1,3.5,0,2.0,薄曇一時晴,大雨
2019/3/11,17.8,9.4,32.0,0,0,1,0,1,4.3,0,3.5,曇一時雨後晴,快晴
2019/3/12,17.1,8.3,0,1,0,1,0,1,8.5,0,3.0,晴,晴
2019/3/13,19.1,5.6,0,1,0,1,0,1,9.1,0,3.6,晴,快晴
2019/3/14,14.3,3.3,0,1,0,1,0,1,8.8,0,2.4,晴,晴一時薄曇
2019/3/15,15.0,4.1,0,1,0,1,0,1,9.8,0,3.2,晴後一時薄曇,曇後晴
2019/3/16,13.9,6.4,0.0,0,0,1,0,1,2.8,0,2.4,曇後一時晴,晴一時曇
2019/3/17,15.3,3.5,0.0,0,0,1,0,1,9.1,0,2.7,晴後曇,晴
2019/3/18,14.5,4.1,0,1,0,1,0,1,10.9,0,3.2,晴後一時薄曇,薄曇
2019/3/19,19.2,6.3,0,1,0,1,0,1,8.2,0,2.2,曇,薄曇後晴
2019/3/20,21.5,8.5,0,1,0,1,0,1,10.9,0,2.7,晴後一時薄曇,曇一時晴
2019/3/21,22.3,13.9,0.0,0,0,1,0,1,6.0,0,5.9,曇時々雨後晴,薄曇時々晴
2019/3/22,23.9,8.7,0.0,0,0,1,0,1,5.5,0,3.7,曇一時晴,曇時々雨、あられを伴う
2019/3/23,9.0,4.4,0.0,0,0,1,0,1,0.0,0,3.2,曇時々雨,晴時々曇
2019/3/24,15.4,1.1,0,1,0,1,0,1,10.7,0,2.5,晴,晴
2019/3/25,15.0,3.9,0,1,0,1,0,1,7.3,0,2.4,薄曇時々晴,曇
2019/3/26,15.9,9.7,0.0,0,0,1,0,1,3.8,0,2.1,曇一時雨後晴,快晴
2019/3/27,19.7,7.3,0,1,0,1,0,1,10.8,0,4.3,晴,晴
2019/3/28,16.9,9.0,0.0,0,0,1,0,1,1.4,0,3.4,曇一時雨,曇
2019/3/29,9.3,6.8,0.0,0,0,1,0,1,0.0,0,2.6,曇,曇
2019/3/30,11.7,7.2,3.5,0,0,1,0,1,0.0,0,2.2,曇,雨時々曇
2019/3/31,16.3,7.3,1.5,0,0,1,0,1,2.2,0,2.2,曇後晴,晴
2019/4/1,16.2,4.2,5.5,0,0,1,0,1,6.2,0,3.1,晴後曇,雨一時曇後晴
2019/4/2,13.1,2.3,0.0,0,0,1,0,1,7.2,0,3.1,晴後曇,晴
2019/4/3,14.1,2.7,0,1,0,1,0,1,12.0,0,3.8,快晴,晴後一時薄曇
2019/4/4,16.7,3.4,0,1,0,1,0,1,11.7,0,2.8,快晴,晴後一時薄曇
2019/4/5,22.5,6.7,0,1,0,1,0,1,11.6,0,4.0,薄曇後晴,晴一時薄曇
2019/4/6,21.6,11.0,0,1,0,1,0,1,10.4,0,2.8,晴,晴
2019/4/7,21.6,10.4,0,1,0,1,0,1,8.5,0,2.2,晴一時曇,晴後曇一時雨
2019/4/8,14.8,5.9,11.0,0,0,1,0,1,0.5,0,3.1,雨時々曇,雨一時曇後晴、雷を伴う
2019/4/9,16.9,4.3,0,1,0,1,0,1,11.9,0,3.8,快晴,曇時々晴後一時雨
2019/4/10,10.2,3.6,29.5,0,0,1,0,1,0.0,0,2.8,雨,雨後一時晴
2019/4/11,16.7,4.4,1.5,0,0,1,0,1,8.8,0,4.8,晴後曇,曇
2019/4/12,12.6,7.5,0.0,0,0,1,0,1,1.5,0,2.3,曇,曇後晴
2019/4/13,18.2,5.5,0,1,0,1,0,1,11.7,0,3.2,晴後一時薄曇,薄曇一時晴
2019/4/14,18.3,9.7,0.0,0,0,1,0,1,3.5,0,3.6,曇,雨時々曇
2019/4/15,22.7,11.6,5.0,0,0,1,0,1,9.5,0,4.0,晴一時曇,快晴
2019/4/16,21.0,10.1,0,1,0,1,0,1,12.2,0,4.2,晴,薄曇時々晴
2019/4/17,19.5,11.0,0,1,0,1,0,1,0.3,0,2.6,薄曇,曇
2019/4/18,23.5,13.4,0,1,0,1,0,1,8.7,0,3.0,晴後一時薄曇,晴後薄曇
2019/4/19,23.6,14.3,0.0,0,0,1,0,1,9.2,0,2.9,薄曇,曇一時雨後晴
2019/4/20,19.1,9.8,0,1,0,1,0,1,11.3,0,3.7,晴,曇時々晴
2019/4/21,23.1,12.2,0,1,0,1,0,1,7.9,0,2.3,晴時々曇,曇
2019/4/22,25.6,14.4,0.0,0,0,1,0,1,8.9,0,2.6,曇後晴,曇
2019/4/23,23.3,15.3,0.0,0,0,1,0,1,7.3,0,3.3,薄曇,曇
2019/4/24,20.6,17.5,3.0,0,0,1,0,1,0.0,0,4.5,曇時々雨,雨
2019/4/25,24.3,18.1,4.0,0,0,1,0,1,2.3,0,2.8,曇時々雨後一時晴,曇時々晴後雨
2019/4/26,20.0,9.5,4.5,0,0,1,0,1,0.0,0,3.3,雨後曇,雨一時曇
2019/4/27,13.2,8.0,6.5,0,0,1,0,1,0.3,0,3.3,曇後一時雨,晴
2019/4/28,18.7,6.0,0,1,0,1,0,1,9.0,0,3.9,薄曇一時晴,曇時々晴
2019/4/29,19.8,10.5,0.0,0,0,1,0,1,2.0,0,3.1,曇,雨時々曇
2019/4/30,17.4,12.8,20.0,0,0,1,0,1,0.0,0,3.1,雨一時曇,雨
2019/5/1,23.4,14.3,26.0,0,0,1,0,1,2.3,0,2.3,曇後雨,雨後晴一時曇
2019/5/2,23.9,13.8,3.5,0,0,1,0,1,6.3,0,1.9,雨時々曇後晴,晴後一時薄曇
2019/5/3,25.0,11.0,0,1,0,1,0,1,10.4,0,2.3,薄曇,薄曇後一時晴
2019/5/4,24.8,14.1,0.0,0,0,1,0,1,5.3,0,2.5,晴一時曇、雷を伴う,晴時々薄曇
2019/5/5,25.2,12.5,0,1,0,1,0,1,12.5,0,3.0,薄曇時々晴,晴後一時雨
2019/5/6,22.1,15.1,0.0,0,0,1,0,1,1.2,0,4.5,曇,曇一時晴後一時雨
2019/5/7,20.9,10.8,0.0,0,0,1,0,1,4.8,0,3.3,晴時々曇後一時雨,晴
2019/5/8,22.7,7.9,0,1,0,1,0,1,12.5,0,4.2,快晴,薄曇
2019/5/9,22.7,14.3,0,1,0,1,0,1,3.0,0,3.7,曇,晴
2019/5/10,27.1,13.9,0,1,0,1,0,1,10.2,0,2.6,晴後薄曇,薄曇一時晴
2019/5/11,27.8,15.3,0,1,0,1,0,1,10.7,0,2.7,晴一時薄曇,晴後一時曇
2019/5/12,22.2,14.5,0,1,0,1,0,1,6.6,0,3.1,薄曇,曇
2019/5/13,22.6,13.3,0.0,0,0,1,0,1,3.9,0,3.1,曇時々晴,曇
2019/5/14,19.3,16.1,0.5,0,0,1,0,1,0.0,0,3.6,雨時々曇,曇時々雨
2019/5/15,23.8,15.7,0.0,0,0,1,0,1,7.4,0,3.6,晴時々曇,晴時々薄曇
2019/5/16,24.6,16.0,0.0,0,0,1,0,1,8.5,0,2.7,晴一時曇,晴
2019/5/17,25.9,15.3,0,1,0,1,0,1,11.3,0,3.0,晴,晴後一時薄曇
2019/5/18,25.6,15.6,0.0,0,0,1,0,1,8.0,0,3.5,薄曇一時晴,曇
2019/5/19,25.2,17.5,0.0,0,0,1,0,1,7.0,0,3.9,晴時々曇,晴時々薄曇
2019/5/20,25.0,16.5,0.0,0,0,1,0,1,5.5,0,4.3,曇時々晴,雨時々曇
2019/5/21,21.9,16.3,82.0,0,0,1,0,1,0.0,0,4.6,大雨,曇一時晴
2019/5/22,25.2,14.1,0,1,0,1,0,1,11.1,0,2.6,薄曇時々晴,薄曇時々晴
2019/5/23,27.0,15.2,0,1,0,1,0,1,12.2,0,3.0,晴,晴
2019/5/24,31.0,16.4,0,1,0,1,0,1,13.1,0,2.7,快晴,快晴
