ダウンロードした時刻：2024/11/27 12:10:13

,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形
年月日,最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降雪量合計(cm),降雪量合計(cm),最深積雪(cm),最深積雪(cm),日照時間(時間),日照時間(時間),平均風速(m/s),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,,
,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,,
2019/1/1,2.8,-2.5,2.0,0,0,1,32,0,0.2,0,1.6,雪時々みぞれ一時曇,雪時々曇一時霧
2019/1/2,2.4,-2.4,0.0,0,0,1,24,0,2.7,0,1.4,雪時々曇一時晴、霧を伴う,曇時々雪一時晴
2019/1/3,1.8,-3.1,0.0,0,0,1,21,0,2.2,0,1.4,晴時々雪一時曇,曇一時雪
2019/1/4,6.0,0.5,0,1,0,1,20,0,2.2,0,2.3,晴時々曇,晴時々雨一時曇
2019/1/5,5.5,-1.8,1.5,0,3,0,17,0,2.1,0,2.0,雨時々雪,雪時々晴一時曇
2019/1/6,2.3,-4.7,0.0,0,1,0,16,0,4.6,0,2.1,晴一時曇後雪,雪一時曇
2019/1/7,3.5,-0.5,0.0,0,1,0,15,0,2.2,0,2.6,曇時々晴一時雪,曇一時晴
2019/1/8,1.5,-1.8,3.5,0,6,0,19,0,0.5,0,1.4,雪一時曇,雪
2019/1/9,0.1,-2.3,5.0,0,7,0,26,0,1.8,0,2.1,雪時々晴一時曇,晴後一時曇
2019/1/10,6.3,-2.3,3.5,0,0,1,23,0,4.8,0,3.3,曇時々晴,雨時々曇
2019/1/11,3.4,-1.3,0.0,0,0,1,14,0,1.6,0,1.9,晴一時雪、みぞれを伴う,晴時々曇
2019/1/12,5.7,-4.2,0,1,0,1,14,0,6.5,0,1.1,薄曇,曇
2019/1/13,3.1,-2.4,0,1,0,1,13,0,0.7,0,0.9,曇,曇一時晴
2019/1/14,5.1,-2.4,0,1,0,1,13,0,5.4,0,1.0,晴一時曇,晴一時曇
2019/1/15,4.2,-5.0,1.5,0,0,1,13,0,3.1,0,1.2,曇一時晴,雨後一時みぞれ
2019/1/16,2.9,-1.2,1.0,0,0,1,12,0,3.0,0,1.7,雪後曇一時晴,曇一時晴
2019/1/17,3.1,-2.1,3.5,0,8,0,18,0,0.0,0,2.7,雪一時雨,雪
2019/1/18,1.1,-3.4,1.5,0,4,0,19,0,1.9,0,2.1,雪,雪
2019/1/19,5.0,-0.9,0.0,0,0,1,19,0,5.3,0,2.4,曇時々晴,晴時々曇
2019/1/20,1.7,-2.0,2.5,0,3,0,15,0,0.0,0,1.3,雨時々雪、あられを伴う,雪一時雨
2019/1/21,-0.6,-3.7,2.0,0,6,0,18,0,0.4,0,1.7,雪,雪一時曇
2019/1/22,1.8,-1.4,0.5,0,1,0,18,0,0.7,0,1.7,雪後一時晴,晴時々曇一時雪
2019/1/23,5.1,-3.2,10.0,0,5,0,19,0,2.1,0,1.8,曇時々雨一時みぞれ,雪後一時曇
2019/1/24,0.0,-5.2,6.0,0,10,0,27,0,0.9,0,1.9,雪,晴一時雪
2019/1/25,1.6,-6.0,0.0,0,0,1,25,0,1.5,0,1.3,雪時々晴,曇一時晴後雪、霧を伴う
2019/1/26,-0.1,-5.7,2.0,0,4,0,24,0,1.4,0,1.3,曇時々雪、あられを伴う,晴時々雪一時曇
2019/1/27,2.1,-6.3,1.0,0,4,0,28,0,4.8,0,1.6,曇時々晴一時雪,曇時々晴
2019/1/28,6.1,-3.8,4.5,0,1,0,23,0,2.3,0,1.7,薄曇後雨、みぞれを伴う,雨後雪
2019/1/29,1.3,-1.8,11.0,0,16,0,36,0,0.4,0,1.7,雪後一時晴,曇時々晴
2019/1/30,5.7,-3.6,0,1,0,1,31,0,6.0,0,1.7,晴一時曇,晴後一時雨
2019/1/31,5.4,-3.3,0.0,0,0,1,23,0,0.0,0,1.8,曇一時雪,曇後雪
2019/2/1,0.1,-2.9,0.5,0,4,0,25,0,0.8,0,1.8,雪,雪
2019/2/2,2.9,-3.7,7.5,0,9,0,33,0,0.1,0,1.3,雪後一時曇,曇時々晴
2019/2/3,4.9,-3.2,2.5,0,0,1,28,0,3.1,0,1.0,曇一時晴,雨
2019/2/4,8.7,-1.4,16.0,0,1,0,23,0,5.1,0,2.9,雨一時晴後一時雪,晴
2019/2/5,6.4,-3.8,0,1,0,1,17,0,9.2,0,2.1,快晴,晴時々薄曇
2019/2/6,2.7,-2.6,0,1,0,1,16,0,0.5,0,0.9,曇後一時晴,快晴
2019/2/7,13.2,-3.9,0.0,0,1,0,16,0,6.1,0,2.5,曇時々晴一時雨,雨一時曇後雪
2019/2/8,0.7,-4.3,1.0,0,1,0,13,0,5.7,0,2.3,雪後一時曇,曇時々雪
2019/2/9,0.8,-2.9,0.0,0,0,1,12,0,0.6,0,1.8,曇一時雪,雪時々曇
2019/2/10,0.5,-4.5,0.0,0,2,0,13,0,4.3,0,2.0,曇時々晴一時雪,曇時々雪
2019/2/11,3.2,-3.1,3.0,0,5,0,17,0,4.8,0,1.4,薄曇一時晴,雪一時曇
2019/2/12,2.5,-2.2,1.5,0,2,0,19,0,4.0,0,2.1,雪時々曇一時晴,雪時々曇一時晴
2019/2/13,1.5,-2.7,0.0,0,0,1,15,0,2.3,0,1.9,曇一時雪,曇時々雪
2019/2/14,2.1,-4.2,0.0,0,0,1,14,0,4.6,0,1.9,雪時々晴一時曇,曇時々晴一時雪
2019/2/15,3.7,-3.2,0.0,0,0,1,13,0,5.3,0,1.7,薄曇,曇時々晴一時雪
2019/2/16,4.1,-2.6,0.0,0,1,0,14,0,2.1,0,1.6,雨時々晴一時雪,曇一時雪
2019/2/17,4.7,-0.7,0.0,0,1,0,12,0,4.3,0,2.7,雪時々曇一時晴,曇時々雪一時晴
2019/2/18,8.7,0.6,0.0,0,0,1,10,0,3.3,0,2.5,晴時々曇一時雨,薄曇一時晴
2019/2/19,7.3,-0.9,6.5,0,0,1,7,0,0.0,0,0.8,曇後一時雨,雨後一時曇
2019/2/20,10.1,2.3,1.5,0,0,1,4,0,0.1,0,1.9,雨,雨後一時曇
2019/2/21,7.5,3.4,0.0,0,0,1,0,1,0.8,0,2.6,曇一時晴,曇後一時晴
2019/2/22,9.8,0.3,0.0,0,0,1,0,1,7.6,0,2.1,晴後一時薄曇,晴後曇
2019/2/23,8.1,-0.8,0,1,0,1,0,1,4.7,0,2.2,晴時々曇,晴時々曇
2019/2/24,12.5,-1.5,0,1,0,1,0,1,10.3,0,1.8,快晴,快晴
2019/2/25,14.1,-2.2,0.0,0,0,1,0,1,5.7,0,2.3,薄曇,曇一時雨後晴
2019/2/26,8.7,-0.9,0.0,0,0,1,0,1,9.0,0,1.9,晴,晴時々曇一時雪
2019/2/27,8.3,-1.3,0.0,0,0,1,0,1,8.4,0,1.6,薄曇一時晴,曇一時晴
2019/2/28,7.1,-0.2,0.0,0,0,1,0,1,0.3,0,0.9,曇一時雪,曇一時晴
2019/3/1,11.0,-0.3,0.0,0,0,1,0,1,3.9,0,1.8,曇後一時晴,曇時々晴
2019/3/2,10.2,0.9,0.0,0,0,1,0,1,8.3,0,2.4,晴,快晴
2019/3/3,14.4,-1.3,0,1,0,1,0,1,10.0,0,1.3,薄曇時々晴,薄曇一時晴
2019/3/4,6.3,1.4,3.0,0,0,1,0,1,0.0,0,1.0,雨時々曇,曇後一時晴
2019/3/5,11.9,1.6,0,1,0,1,0,1,8.6,0,1.5,晴一時曇,晴後薄曇
2019/3/6,16.0,-0.7,0.0,0,0,1,0,1,5.4,0,1.6,曇,曇後雨
2019/3/7,6.7,2.0,14.0,0,0,1,0,1,0.0,0,1.2,雨,雪時々曇一時晴
2019/3/8,6.6,-0.4,0.5,0,0,1,0,0,1.6,0,2.1,曇時々晴一時雪,快晴
2019/3/9,15.8,0.0,0,1,0,1,0,1,10.6,0,2.9,快晴,晴一時薄曇
2019/3/10,17.3,1.6,0,1,0,1,0,1,7.0,0,2.7,薄曇一時晴,曇後雨
2019/3/11,10.4,5.2,27.0,0,0,1,0,1,0.0,0,2.1,雨後一時曇,雨後曇一時晴
2019/3/12,12.9,5.4,0.0,0,0,1,0,1,4.1,0,3.6,曇時々晴,晴一時雨
2019/3/13,11.1,-0.2,4.0,0,4,0,4,0,3.8,0,2.4,曇時々雨一時晴,雪、あられを伴う
2019/3/14,5.9,-0.5,1.5,0,2,0,5,0,4.2,0,3.0,雪後みぞれ一時雨,晴時々曇一時みぞれ
2019/3/15,10.0,0.4,0.0,0,0,1,0,1,7.1,0,2.2,晴時々曇,晴時々曇一時雨
2019/3/16,10.0,-0.7,0.0,0,0,1,0,1,7.9,0,1.7,晴一時曇,晴時々曇
2019/3/17,9.3,0.3,0.0,0,0,1,0,1,3.4,0,2.2,曇時々晴,曇後晴
2019/3/18,12.6,-0.6,0,1,0,1,0,1,10.9,0,1.7,晴,薄曇一時晴
2019/3/19,16.7,0.5,0,1,0,1,0,1,5.3,0,1.3,薄曇時々晴,快晴
2019/3/20,19.9,0.8,0,1,0,1,0,1,10.9,0,1.1,快晴,曇一時晴
2019/3/21,16.4,5.7,0.0,0,0,1,0,1,0.1,0,1.2,曇時々雨,雨時々曇
2019/3/22,13.5,3.4,0.0,0,0,1,0,1,0.9,0,2.9,雨時々曇,曇一時晴
2019/3/23,5.5,-2.0,0.0,0,0,1,0,1,1.7,0,2.1,曇後一時晴,晴後曇
2019/3/24,6.7,-2.6,1.0,0,2,0,2,0,4.7,0,2.6,晴時々雪一時曇,晴
2019/3/25,14.0,-1.3,0.0,0,0,1,0,1,4.1,0,2.8,曇時々晴一時雨,晴
2019/3/26,16.6,4.1,1.0,0,0,1,0,1,7.2,0,2.8,薄曇時々晴一時雨,晴
2019/3/27,10.9,2.3,10.5,0,0,1,0,1,2.2,0,2.5,曇時々晴一時雨,雨一時雪、雷を伴う
2019/3/28,7.4,-0.3,11.5,0,1,0,1,0,1.9,0,2.3,曇時々晴一時雨,晴一時曇
2019/3/29,9.6,-1.9,0,1,0,1,0,1,9.9,0,2.2,晴一時薄曇,曇時々雪一時晴、みぞれを伴う
2019/3/30,7.0,0.2,6.5,0,2,0,2,0,1.2,0,1.3,曇時々雨一時雪,雨時々曇一時雪
2019/3/31,6.9,0.2,13.0,0,4,0,4,0,0.5,0,1.8,雨時々雪,雨時々晴
2019/4/1,6.6,0.5,1.0,0,0,1,0,1,2.0,0,1.9,曇時々雨、あられを伴う,曇時々晴
2019/4/2,4.3,-1.3,1.5,0,0,1,0,0,2.1,0,2.1,雪時々曇一時晴,雪時々晴一時曇
2019/4/3,7.5,-2.2,1.0,0,3,0,3,0,6.3,0,2.3,曇時々晴一時雪,曇時々雪
2019/4/4,12.7,2.5,0.0,0,0,1,0,1,4.6,0,3.7,晴時々雨一時曇,晴時々曇
2019/4/5,18.7,5.8,3.0,0,0,1,0,1,10.0,0,4.1,晴後一時雨,雨時々晴一時曇
2019/4/6,12.6,5.8,0.0,0,0,1,0,1,5.7,0,3.6,晴時々曇一時雨,晴時々曇
2019/4/7,15.7,1.4,0.0,0,0,1,0,1,5.7,0,2.6,曇時々晴一時雨,晴時々薄曇
2019/4/8,12.3,1.2,0.0,0,0,1,0,1,6.5,0,1.9,薄曇,曇時々雨
2019/4/9,11.6,1.4,7.0,0,0,1,0,1,5.4,0,2.6,雨後晴,曇一時晴
2019/4/10,8.0,0.5,6.5,0,0,1,0,0,0.0,0,1.2,曇後雨,雪時々雨一時みぞれ
2019/4/11,9.6,0.1,10.0,0,9,0,9,0,1.8,0,1.2,みぞれ一時雪後曇,晴時々曇
2019/4/12,12.5,0.6,0.0,0,0,1,0,1,4.8,0,1.7,曇一時晴,快晴
2019/4/13,15.7,-0.1,0,1,0,1,0,1,12.1,0,1.8,晴,晴時々薄曇
2019/4/14,19.9,3.1,0.0,0,0,1,0,1,8.3,0,2.1,薄曇一時晴,雨時々曇
2019/4/15,14.1,7.5,3.0,0,0,1,0,1,3.1,0,3.7,雨一時晴,晴時々曇一時雨
2019/4/16,18.1,4.2,0.0,0,0,1,0,1,10.2,0,2.0,晴,快晴
2019/4/17,22.0,2.7,0,1,0,1,0,1,9.3,0,1.5,薄曇一時晴,曇後一時晴
2019/4/18,23.7,7.5,0,1,0,1,0,1,10.6,0,1.3,晴,晴時々雨一時曇
2019/4/19,17.2,5.3,1.0,0,0,1,0,1,4.5,0,2.4,曇一時晴,晴一時薄曇
2019/4/20,16.7,2.5,0,1,0,1,0,1,11.9,0,2.3,晴後薄曇,曇一時晴
2019/4/21,18.2,5.7,0.0,0,0,1,0,1,0.8,0,1.1,曇,曇
2019/4/22,20.6,8.4,0,1,0,1,0,1,10.9,0,2.1,快晴,快晴
2019/4/23,24.4,4.3,0,1,0,1,0,1,11.8,0,1.3,快晴,薄曇一時晴
2019/4/24,24.2,10.3,1.0,0,0,1,0,1,2.1,0,1.8,曇,雨一時曇
2019/4/25,21.1,12.1,2.0,0,0,1,0,1,0.0,0,1.2,曇時々雨,曇時々雨一時霧雨
2019/4/26,12.4,6.8,12.0,0,0,1,0,1,0.1,0,2.4,雨後一時曇,曇一時霧雨
2019/4/27,13.2,5.2,0.5,0,0,1,0,1,5.6,0,2.1,曇時々雨一時晴,曇一時雨後晴
2019/4/28,15.5,3.5,0,1,0,1,0,1,12.1,0,1.8,薄曇一時晴,晴時々薄曇
2019/4/29,21.1,3.2,0,1,0,1,0,1,12.0,0,2.0,晴時々薄曇,曇時々雨一時晴
2019/4/30,15.4,9.4,13.5,0,0,1,0,1,0.0,0,1.1,雨,雨後曇、霧を伴う
2019/5/1,21.9,11.4,0.0,0,0,1,0,1,5.3,0,1.5,曇,曇時々雨
2019/5/2,18.4,11.0,0.0,0,0,1,0,1,6.2,0,3.3,晴一時雨,晴
2019/5/3,22.3,6.3,0,1,0,1,0,1,11.3,0,2.0,晴,快晴
2019/5/4,23.4,5.6,0,1,0,1,0,1,13.1,0,1.6,快晴,快晴
2019/5/5,27.5,7.0,0,1,0,1,0,1,12.7,0,1.7,晴,晴時々薄曇
2019/5/6,25.8,10.8,21.5,0,0,1,0,1,6.7,0,1.5,曇時々雨一時晴、雷を伴う,雨後一時曇
2019/5/7,15.5,8.7,4.5,0,0,1,0,1,7.5,0,3.1,晴後一時曇,快晴
2019/5/8,21.7,9.0,0,1,0,1,0,1,13.0,0,3.9,快晴,晴後薄曇
2019/5/9,23.0,10.3,0,1,0,1,0,1,2.0,0,2.7,薄曇,晴時々薄曇
2019/5/10,25.6,8.6,0,1,0,1,0,1,12.9,0,2.5,晴,快晴
2019/5/11,27.9,9.1,0,1,0,1,0,1,12.6,0,1.5,晴,晴後一時曇
2019/5/12,23.7,9.0,0,1,0,1,0,1,12.5,0,1.7,快晴,快晴
2019/5/13,23.9,6.1,0,1,0,1,0,1,12.8,0,1.8,晴後一時薄曇,薄曇時々晴
