service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
01-100,0,0,0,0,0,0,1,20250108,20280107
01-160,0,0,0,0,0,1,0,20250108,20280107
01-170,1,1,1,1,1,0,0,20250108,20280107
06-100,0,0,0,0,0,0,1,20250108,20280107
06-160,0,0,0,0,0,1,0,20250108,20280107
06-170,1,1,1,1,1,0,0,20250108,20280107
09-100,0,0,0,0,0,0,1,20250108,20280107
09-160,0,0,0,0,0,1,0,20250108,20280107
09-170,1,1,1,1,1,0,0,20250108,20280107
13-100,0,0,0,0,0,0,1,20250108,20280107
13-160,0,0,0,0,0,1,0,20250108,20280107
13-170,1,1,1,1,1,0,0,20250108,20280107
21-100,0,0,0,0,0,0,1,20250108,20280107
21-160,0,0,0,0,0,1,0,20250108,20280107
21-170,1,1,1,1,1,0,0,20250108,20280107
25-100,0,0,0,0,0,0,1,20250108,20280107
25-160,0,0,0,0,0,1,0,20250108,20280107
25-170,1,1,1,1,1,0,0,20250108,20280107
29-100,0,0,0,0,0,0,1,20250108,20280107
29-160,0,0,0,0,0,1,0,20250108,20280107
29-170,1,1,1,1,1,0,0,20250108,20280107
33-100,0,0,0,0,0,0,1,20250108,20280107
33-160,0,0,0,0,0,1,0,20250108,20280107
33-170,1,1,1,1,1,0,0,20250108,20280107
37-100,0,0,0,0,0,0,1,20250108,20280107
37-160,0,0,0,0,0,1,0,20250108,20280107
37-170,1,1,1,1,1,0,0,20250108,20280107
41-100,0,0,0,0,0,0,1,20250108,20280107
41-160,0,0,0,0,0,1,0,20250108,20280107
41-170,1,1,1,1,1,0,0,20250108,20280107
45-100,0,0,0,0,0,0,1,20250108,20280107
45-160,0,0,0,0,0,1,0,20250108,20280107
45-170,1,1,1,1,1,0,0,20250108,20280107
49-100,0,0,0,0,0,0,1,20250108,20280107
49-160,0,0,0,0,0,1,0,20250108,20280107
49-170,1,1,1,1,1,0,0,20250108,20280107
53-100,0,0,0,0,0,0,1,20250108,20280107
53-160,0,0,0,0,0,1,0,20250108,20280107
53-170,1,1,1,1,1,0,0,20250108,20280107
57-100,0,0,0,0,0,0,1,20250108,20280107
57-160,0,0,0,0,0,1,0,20250108,20280107
57-170,1,1,1,1,1,0,0,20250108,20280107
61-100,0,0,0,0,0,0,1,20250108,20280107
61-160,0,0,0,0,0,1,0,20250108,20280107
61-170,1,1,1,1,1,0,0,20250108,20280107
65-100,0,0,0,0,0,0,1,20250108,20280107
65-160,0,0,0,0,0,1,0,20250108,20280107
65-170,1,1,1,1,1,0,0,20250108,20280107
69-100,0,0,0,0,0,0,1,20250108,20280107
69-160,0,0,0,0,0,1,0,20250108,20280107
69-170,1,1,1,1,1,0,0,20250108,20280107
77-100,0,0,0,0,0,0,1,20250108,20280107
77-160,0,0,0,0,0,1,0,20250108,20280107
77-170,1,1,1,1,1,0,0,20250108,20280107
81-100,0,0,0,0,0,0,1,20250108,20280107
81-160,0,0,0,0,0,1,0,20250108,20280107
81-170,1,1,1,1,1,0,0,20250108,20280107
85-100,0,0,0,0,0,0,1,20250108,20280107
85-160,0,0,0,0,0,1,0,20250108,20280107
85-170,1,1,1,1,1,0,0,20250108,20280107
