fare_id,price,ic_price,currency_type,payment_method,transfers,transfer_duration
100__100_,100,-1,JPY,0,0,0
180_178_90_89,180,178,JPY,0,0,0
190_189_100_95,190,189,JPY,0,0,0
200_199_100_100,200,199,JPY,0,0,0
210_210_110_105,210,-1,JPY,0,0,0
220_220_110_110,220,-1,JPY,0,0,0
240_231_120_116,240,231,JPY,0,0,0
250_242_130_121,250,242,JPY,0,0,0
260_252_130_126,260,252,JPY,0,0,0
270_263_140_132,270,263,JPY,0,0,0
280_273_140_137,280,273,JPY,0,0,0
290_284_150_142,290,284,JPY,0,0,0
300_294_150_147,300,294,JPY,0,0,0
310_305_160_153,310,305,JPY,0,0,0
320_315_160_158,320,315,JPY,0,0,0
330_326_170_163,330,326,JPY,0,0,0
340_336_170_168,340,336,JPY,0,0,0
350_347_180_174,350,347,JPY,0,0,0
360_356_180_178,360,356,JPY,0,0,0
370_367_190_184,370,367,JPY,0,0,0
380_377_190_189,380,377,JPY,0,0,0
390_388_200_194,390,388,JPY,0,0,0
400_398_200_199,400,398,JPY,0,0,0
410_409_210_205,410,409,JPY,0,0,0
420_419_210_210,420,419,JPY,0,0,0
420_420_210_210,420,-1,JPY,0,0,0
430_430_220_215,430,-1,JPY,0,0,0
440_440_220_220,440,-1,JPY,0,0,0
460_451_230_226,460,451,JPY,0,0,0
470_462_240_231,470,462,JPY,0,0,0
480_472_240_236,480,472,JPY,0,0,0
490_483_250_242,490,483,JPY,0,0,0
500_493_250_247,500,493,JPY,0,0,0
520_514_260_257,520,514,JPY,0,0,0
530_525_270_263,530,525,JPY,0,0,0
550_546_280_273,550,546,JPY,0,0,0
560_556_280_278,560,556,JPY,0,0,0
570_567_290_284,570,567,JPY,0,0,0
580_576_290_288,580,576,JPY,0,0,0
600_597_300_299,600,597,JPY,0,0,0
610_608_310_304,610,608,JPY,0,0,0
620_618_310_309,620,618,JPY,0,0,0
640_639_320_320,640,639,JPY,0,0,0
650_650_330_325,650,-1,JPY,0,0,0
