route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,jp_parent_route_id
002,8000020130001,波０１（ＮＭ０１）,,,3,https://tobus.jp/blsys/navi?VCD=cresultapr&ECD=rsirslt&LCD=&RTMCD=2,F1B34E,350800,
003,8000020130001,市０１,,,3,https://tobus.jp/blsys/navi?VCD=cresultapr&ECD=rsirslt&LCD=&RTMCD=3,B779B7,FAF6FB,
006,8000020130001,都０１（Ｔ０１）,,,3,https://tobus.jp/blsys/navi?VCD=cresultapr&ECD=rsirslt&LCD=&RTMCD=6,00A9E8,FFFFFF,
008,8000020130001,ＲＨ０１,,,3,https://tobus.jp/blsys/navi?VCD=cresultapr&ECD=rsirslt&LCD=&RTMCD=8,BB7AAA,FFFFFF,
010,8000020130001,ＣＨ０１,,,3,https://tobus.jp/blsys/navi?VCD=cresultapr&ECD=rsirslt&LCD=&RTMCD=10,E90087,FFF0FF,
014,8000020130001,ＦＬ０１,,,3,https://tobus.jp/blsys/navi?VCD=cresultapr&ECD=rsirslt&LCD=&RTMCD=14,C68C78,FFFFFF,
015,8000020130001,江東０１,,,3,https://tobus.jp/blsys/navi?VCD=cresultapr&ECD=rsirslt&LCD=&RTMCD=15,1DA366,FFFFFF,
017,8000020130001,豊洲０１,,,3,https://tobus.jp/blsys/navi?VCD=cresultapr&ECD=rsirslt&LCD=&RTMCD=17,EC9288,FFFFFF,
018,8000020130001,海０１（ＫＭ０１）,,,3,https://tobus.jp/blsys/navi?VCD=cresultapr&ECD=rsirslt&LCD=&RTMCD=18,D0086E,FFFFFF,
019,8000020130001,学０２,,,3,https://tobus.jp/blsys/navi?VCD=cresultapr&ECD=rsirslt&LCD=&RTMCD=19,6653A8,FFFFFF,
020,8000020130001,都０２,,,3,https://tobus.jp/blsys/navi?VCD=cresultapr&ECD=rsirslt&LCD=&RTMCD=20,B071B6,FFFFFF,
021,8000020130001,都０２乙,,,3,https://tobus.jp/blsys/navi?VCD=cresultapr&ECD=rsirslt&LCD=&RTMCD=21,4986BC,FFFFFF,
022,8000020130001,深夜０２,,,3,https://tobus.jp/blsys/navi?VCD=cresultapr&ECD=rsirslt&LCD=&RTMCD=22,D5A007,FFFFFF,
023,8000020130001,都０３,,,3,https://tobus.jp/blsys/navi?VCD=cresultapr&ECD=rsirslt&LCD=&RTMCD=23,8878C1,FFFFFF,
024,8000020130001,学０３,,,3,https://tobus.jp/blsys/navi?VCD=cresultapr&ECD=rsirslt&LCD=&RTMCD=24,5AC17C,FFFFFF,
025,8000020130001,深夜０３,,,3,https://tobus.jp/blsys/navi?VCD=cresultapr&ECD=rsirslt&LCD=&RTMCD=25,00911F,FFFFFF,
026,8000020130001,都０４,,,3,https://tobus.jp/blsys/navi?VCD=cresultapr&ECD=rsirslt&LCD=&RTMCD=26,29B369,FFFFFF,
