table_name,field_name,field_value,language,translation
stop_times,stop_headsign,青森駅②のりば,en,Aomori Sta.②
routes,route_short_name,青森駅②のりば,en,Aomori Sta.②
stop_times,stop_headsign,青森駅②のりば,ja,青森駅②のりば
routes,route_short_name,青森駅②のりば,ja,青森駅②のりば
stop_times,stop_headsign,青森駅③のりば,en,Aomori Sta.③
routes,route_short_name,青森駅③のりば,en,Aomori Sta.③
stop_times,stop_headsign,青森駅③のりば,ja,青森駅③のりば
routes,route_short_name,青森駅③のりば,ja,青森駅③のりば
stop_times,stop_headsign,青森駅④のりば,en,Aomori Sta.④
routes,route_short_name,青森駅④のりば,en,Aomori Sta.④
stop_times,stop_headsign,青森駅④のりば,ja,青森駅④のりば
routes,route_short_name,青森駅④のりば,ja,青森駅④のりば
stop_times,stop_headsign,青森駅⑥のりば,en,Aomori Sta.⑥
routes,route_short_name,青森駅⑥のりば,en,Aomori Sta.⑥
stop_times,stop_headsign,青森駅⑥のりば,ja,青森駅⑥のりば
routes,route_short_name,青森駅⑥のりば,ja,青森駅⑥のりば
stop_times,stop_headsign,青森駅（降車専用）,en,Aomori Sta.(drop off only)
routes,route_short_name,青森駅（降車専用）,en,Aomori Sta.(drop off only)
stop_times,stop_headsign,青森駅（降車専用）,ja,青森駅（降車専用）
routes,route_short_name,青森駅（降車専用）,ja,青森駅（降車専用）
stop_times,stop_headsign,古川①のりば,en,furukawa①
routes,route_short_name,古川①のりば,en,furukawa①
stop_times,stop_headsign,古川①のりば,ja,古川①のりば
routes,route_short_name,古川①のりば,ja,古川①のりば
stop_times,stop_headsign,古川②のりば,en,furukawa②
routes,route_short_name,古川②のりば,en,furukawa②
stop_times,stop_headsign,古川②のりば,ja,古川②のりば
routes,route_short_name,古川②のりば,ja,古川②のりば
stop_times,stop_headsign,古川③のりば,en,furukawa③
routes,route_short_name,古川③のりば,en,furukawa③
stop_times,stop_headsign,古川③のりば,ja,古川③のりば
routes,route_short_name,古川③のりば,ja,古川③のりば
stop_times,stop_headsign,古川④のりば,en,furukawa④
routes,route_short_name,古川④のりば,en,furukawa④
stop_times,stop_headsign,古川④のりば,ja,古川④のりば
routes,route_short_name,古川④のりば,ja,古川④のりば
stop_times,stop_headsign,古川⑤のりば,en,furukawa⑤
routes,route_short_name,古川⑤のりば,en,furukawa⑤
stop_times,stop_headsign,古川⑤のりば,ja,古川⑤のりば
routes,route_short_name,古川⑤のりば,ja,古川⑤のりば
stop_times,stop_headsign,古川⑥のりば,en,furukawa⑥
routes,route_short_name,古川⑥のりば,en,furukawa⑥
stop_times,stop_headsign,古川⑥のりば,ja,古川⑥のりば
routes,route_short_name,古川⑥のりば,ja,古川⑥のりば
stop_times,stop_headsign,古川⑧のりば,en,furukawa⑧
routes,route_short_name,古川⑧のりば,en,furukawa⑧
stop_times,stop_headsign,古川⑧のりば,ja,古川⑧のりば
routes,route_short_name,古川⑧のりば,ja,古川⑧のりば
stop_times,stop_headsign,古川⑨のりば,en,furukawa⑨
routes,route_short_name,古川⑨のりば,en,furukawa⑨
stop_times,stop_headsign,古川⑨のりば,ja,古川⑨のりば
routes,route_short_name,古川⑨のりば,ja,古川⑨のりば
stop_times,stop_headsign,古川（降車専用）,en,furukawa(drop off only)
routes,route_short_name,古川（降車専用）,en,furukawa(drop off only)
stop_times,stop_headsign,古川（降車専用）,ja,古川（降車専用）
routes,route_short_name,古川（降車専用）,ja,古川（降車専用）
stop_times,stop_headsign,八甲田大橋,en,Hakkoda Ohashi
routes,route_short_name,八甲田大橋,en,Hakkoda Ohashi
stop_times,stop_headsign,八甲田大橋,ja,八甲田大橋
routes,route_short_name,八甲田大橋,ja,八甲田大橋
stop_times,stop_headsign,イトーヨーカドー,en,Ito Yokado
routes,route_short_name,イトーヨーカドー,en,Ito Yokado
stop_times,stop_headsign,イトーヨーカドー,ja,イトーヨーカドー
routes,route_short_name,イトーヨーカドー,ja,イトーヨーカドー
stop_times,stop_headsign,里見,en,Satomi
routes,route_short_name,里見,en,Satomi
stop_times,stop_headsign,里見,ja,里見
routes,route_short_name,里見,ja,里見
stop_times,stop_headsign,明の星高校,en,Akenohoshi Koko
routes,route_short_name,明の星高校,en,Akenohoshi Koko
stop_times,stop_headsign,明の星高校,ja,明の星高校
routes,route_short_name,明の星高校,ja,明の星高校
stop_times,stop_headsign,浜館,en,Hamadate
routes,route_short_name,浜館,en,Hamadate
stop_times,stop_headsign,浜館,ja,浜館
routes,route_short_name,浜館,ja,浜館
stop_times,stop_headsign,経由,en,Via
routes,route_short_name,経由,en,Via
stop_times,stop_headsign,経由,ja,経由
routes,route_short_name,経由,ja,経由
stop_times,stop_headsign,小柳団地,en,Koyanagi Danchi
routes,route_short_name,小柳団地,en,Koyanagi Danchi
stop_times,stop_headsign,小柳団地,ja,小柳団地
routes,route_short_name,小柳団地,ja,小柳団地
stop_times,stop_headsign,ガーラタウン,en,GALATOWN
routes,route_short_name,ガーラタウン,en,GALATOWN
stop_times,stop_headsign,ガーラタウン,ja,ガーラタウン
routes,route_short_name,ガーラタウン,ja,ガーラタウン
stop_times,stop_headsign,公立大学,en,Koritsu Daigaku
routes,route_short_name,公立大学,en,Koritsu Daigaku
stop_times,stop_headsign,公立大学,ja,公立大学
routes,route_short_name,公立大学,ja,公立大学
stop_times,stop_headsign,奥内,en,Okunai
routes,route_short_name,奥内,en,Okunai
stop_times,stop_headsign,奥内,ja,奥内
routes,route_short_name,奥内,ja,奥内
stop_times,stop_headsign,沢田橋経由,en,Via Sawada Bashi
routes,route_short_name,沢田橋経由,en,Via Sawada Bashi
stop_times,stop_headsign,沢田橋経由,ja,沢田橋経由
routes,route_short_name,沢田橋経由,ja,沢田橋経由
stop_times,stop_headsign,東高校前経由,en,Via Higashi Koko Mae
routes,route_short_name,東高校前経由,en,Via Higashi Koko Mae
stop_times,stop_headsign,東高校前経由,ja,東高校前経由
routes,route_short_name,東高校前経由,ja,東高校前経由
stop_times,stop_headsign,ガーラタウン前経由,en,Via GALATOWN Mae
routes,route_short_name,ガーラタウン前経由,en,Via GALATOWN Mae
stop_times,stop_headsign,ガーラタウン前経由,ja,ガーラタウン前経由
routes,route_short_name,ガーラタウン前経由,ja,ガーラタウン前経由
stop_times,stop_headsign,牛館経由,en,Via Ushidate
routes,route_short_name,牛館経由,en,Via Ushidate
stop_times,stop_headsign,牛館経由,ja,牛館経由
routes,route_short_name,牛館経由,ja,牛館経由
stop_times,stop_headsign,臨時運行,en,relief service
routes,route_short_name,臨時運行,en,relief service
stop_times,stop_headsign,臨時運行,ja,臨時運行
routes,route_short_name,臨時運行,ja,臨時運行
stop_times,stop_headsign,新青森駅経由,en,Via Shin Aomori Sta.
routes,route_short_name,新青森駅経由,en,Via Shin Aomori Sta.
stop_times,stop_headsign,新青森駅経由,ja,新青森駅経由
routes,route_short_name,新青森駅経由,ja,新青森駅経由
stop_times,stop_headsign,田茂木野経由→田茂木沢終点,en,The last stop is Tamogisawa
routes,route_short_name,田茂木野経由→田茂木沢終点,en,The last stop is Tamogisawa
stop_times,stop_headsign,田茂木野経由→田茂木沢終点,ja,田茂木野経由→田茂木沢終点
routes,route_short_name,田茂木野経由→田茂木沢終点,ja,田茂木野経由→田茂木沢終点
stop_times,stop_headsign,つくしが丘病院→岩渡終点,en,The last stop is Iwatari
routes,route_short_name,つくしが丘病院→岩渡終点,en,The last stop is Iwatari
stop_times,stop_headsign,つくしが丘病院→岩渡終点,ja,つくしが丘病院→岩渡終点
routes,route_short_name,つくしが丘病院→岩渡終点,ja,つくしが丘病院→岩渡終点
stop_times,stop_headsign,幸畑団地経由,en,Via Kobata Danchi
routes,route_short_name,幸畑団地経由,en,Via Kobata Danchi
stop_times,stop_headsign,幸畑団地経由,ja,幸畑団地経由
routes,route_short_name,幸畑団地経由,ja,幸畑団地経由
stop_times,stop_headsign,商業高校前・第二養護学校前経由,en,Via Shogyo Koko・Dai Ni Yogo Gakko Mae
