fare_id,route_id,origin_id,destination_id,contains_id
210_210_110_105,002,,,
210_210_110_105,003,,,
210_210_110_105,006,,,
210_210_110_105,008,,,
190_189_100_95,010,,,
210_210_110_105,014,,,
100__100_,015,,,
210_210_110_105,017,,,
210_210_110_105,018,,,
180_178_90_89,019,,,
210_210_110_105,020,,,
210_210_110_105,021,,,
420_420_210_210,022,,,
210_210_110_105,023,,,
180_178_90_89,024,,,
420_420_210_210,025,,,
210_210_110_105,026,,,
180_178_90_89,027,,,
210_210_110_105,028,,,
210_210_110_105,031,,,
180_178_90_89,032,,,
210_210_110_105,033,,,
420_420_210_210,034,,,
210_210_110_105,036,,,
210_210_110_105,038,,,
210_210_110_105,040,,,
210_210_110_105,041,,,
420_420_210_210,042,,,
210_210_110_105,043,,,
210_210_110_105,044,,,
210_210_110_105,045,,,
210_210_110_105,046,,,
210_210_110_105,047,,,
210_210_110_105,049,,,
210_210_110_105,050,,,
210_210_110_105,051,,,
210_210_110_105,052,,,
210_210_110_105,053,,,
210_210_110_105,055,,,
210_210_110_105,056,,,
210_210_110_105,057,,,
210_210_110_105,058,,,
210_210_110_105,059,,,
210_210_110_105,060,,,
210_210_110_105,061,,,
210_210_110_105,062,,,
210_210_110_105,063,,,
210_210_110_105,064,,,
210_210_110_105,066,,,
210_210_110_105,067,,,
210_210_110_105,068,,,
210_210_110_105,070,,,
210_210_110_105,071,,,
210_210_110_105,072,,,
210_210_110_105,073,,,
210_210_110_105,074,,,
210_210_110_105,075,,,
210_210_110_105,076,,,
210_210_110_105,077,,,
210_210_110_105,078,,,
210_210_110_105,079,,,
210_210_110_105,080,,,
210_210_110_105,081,,,
210_210_110_105,082,,,
210_210_110_105,083,,,
210_210_110_105,084,,,
210_210_110_105,085,,,
210_210_110_105,086,,,
210_210_110_105,087,,,
210_210_110_105,088,,,
210_210_110_105,089,,,
210_210_110_105,091,,,
210_210_110_105,092,,,
210_210_110_105,093,,,
210_210_110_105,094,,,
210_210_110_105,096,,,
210_210_110_105,097,,,
210_210_110_105,098,,,
210_210_110_105,099,,,
210_210_110_105,100,,,
210_210_110_105,101,,,
210_210_110_105,102,,,
210_210_110_105,103,,,
210_210_110_105,105,,,
210_210_110_105,106,,,
210_210_110_105,107,,,
210_210_110_105,108,,,
210_210_110_105,109,,,
210_210_110_105,110,,,
210_210_110_105,112,,,
210_210_110_105,116,,,
210_210_110_105,117,,,
210_210_110_105,118,,,
210_210_110_105,119,,,
210_210_110_105,120,,,
210_210_110_105,121,,,
210_210_110_105,122,,,
210_210_110_105,124,,,
210_210_110_105,125,,,
210_210_110_105,126,,,
210_210_110_105,127,,,
210_210_110_105,128,,,
210_210_110_105,129,,,
210_210_110_105,130,,,
210_210_110_105,131,,,
210_210_110_105,133,,,
210_210_110_105,134,,,
210_210_110_105,135,,,
210_210_110_105,137,,,
210_210_110_105,138,,,
210_210_110_105,141,,,
210_210_110_105,147,,,
210_210_110_105,148,,,
210_210_110_105,149,,,
210_210_110_105,151,,,
210_210_110_105,152,,,
210_210_110_105,153,,,
210_210_110_105,154,,,
210_210_110_105,155,,,
210_210_110_105,157,,,
210_210_110_105,158,,,
210_210_110_105,159,,,
210_210_110_105,160,,,
210_210_110_105,161,,,
210_210_110_105,162,,,
210_210_110_105,163,,,
210_210_110_105,165,,,
210_210_110_105,166,,,
210_210_110_105,167,,,
210_210_110_105,169,,,
210_210_110_105,170,,,
210_210_110_105,172,,,
210_210_110_105,173,,,
210_210_110_105,174,,,
210_210_110_105,175,,,
210_210_110_105,176,,,
210_210_110_105,177,,,
420_420_210_210,178,,,
420_420_210_210,179,,,
210_210_110_105,181,,,
210_210_110_105,183,,,
210_210_110_105,184,,,
210_210_110_105,185,,,
210_210_110_105,186,,,
210_210_110_105,188,,,
210_210_110_105,190,,,
210_210_110_105,191,,,
210_210_110_105,192,,,
210_210_110_105,193,,,
210_210_110_105,194,,,
210_210_110_105,195,,,
210_210_110_105,196,,,
210_210_110_105,198,,,
210_210_110_105,199,,,
180_178_90_89,280,2123-01,1124-01,
180_178_90_89,280,0575-01,0668-01,
180_178_90_89,280,2123-01,1123-01,
180_178_90_89,280,0527-03,0528-02,
180_178_90_89,280,2123-01,0668-01,
180_178_90_89,280,0575-01,1123-01,
180_178_90_89,280,0575-01,1124-01,
180_178_90_89,280,2123-01,0575-01,
180_178_90_89,280,0575-01,1321-01,
180_178_90_89,280,0575-01,1565-01,
180_178_90_89,280,0575-01,2573-01,
180_178_90_89,280,2123-01,0262-01,
180_178_90_89,280,0575-02,0120-02,
180_178_90_89,280,2123-01,0261-01,
180_178_90_89,280,0517-01,1215-01,
180_178_90_89,280,0517-01,1214-01,
