stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
0001-01,,愛育クリニック前,,35.653697,139.726017,0001-01,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=1,0,,,,
0001-02,,愛育クリニック前,,35.654095,139.726541,0001-02,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=1,0,,,,
0003-01,,青戸車庫前,,35.744787,139.843847,0003-01,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=3,0,,,,
0003-02,,青戸車庫前,,35.745259,139.844403,0003-02,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=3,0,,,,
0003-03,,青戸車庫前,,35.743838,139.84335,0003-03,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=3,0,,,,
0004-01,,青物横丁,京浜急行線 青物横丁,35.608974,139.741666,0004-01,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=4,0,,,,1
0004-02,,青物横丁,京浜急行線 青物横丁,35.610292,139.74317,0004-02,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=4,0,,,,2
0005-01,,渋谷三丁目,,35.658472,139.707404,0005-01,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=5,0,,,,
0005-02,,渋谷三丁目,,35.658075,139.707523,0005-02,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=5,0,,,,
0005-03,,渋谷三丁目,,35.658091,139.707973,0005-03,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=5,0,,,,
0006-01,,青山学院初等部前,,35.657698,139.710593,0006-01,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=6,0,,,,
0006-02,,青山学院初等部前,,35.657636,139.711813,0006-02,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=6,0,,,,
