table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ja,愛育クリニック前,0001-01,,
stops,stop_name,ja-Hrkt,あいいくくりにっくまえ,0001-01,,
stops,stop_name,en,Aiiku Clinic,0001-01,,
stops,stop_name,ja,愛育クリニック前,0001-02,,
stops,stop_name,ja-Hrkt,あいいくくりにっくまえ,0001-02,,
stops,stop_name,en,Aiiku Clinic,0001-02,,
stops,stop_name,ja,青戸車庫前,0003-01,,
stops,stop_name,ja-Hrkt,あおとしゃこまえ,0003-01,,
stops,stop_name,en,Aoto-Shako,0003-01,,
stops,stop_name,ja,青戸車庫前,0003-02,,
stops,stop_name,ja-Hrkt,あおとしゃこまえ,0003-02,,
stops,stop_name,en,Aoto-Shako,0003-02,,
stops,stop_name,ja,青戸車庫前,0003-03,,
stops,stop_name,ja-Hrkt,あおとしゃこまえ,0003-03,,
stops,stop_name,en,Aoto-Shako,0003-03,,
stops,stop_name,ja,青物横丁,0004-01,,
stops,stop_name,ja-Hrkt,あおものよこちょう,0004-01,,
stops,stop_name,en,Aomono-Yokochō,0004-01,,
stops,stop_name,ja,青物横丁,0004-02,,
stops,stop_name,ja-Hrkt,あおものよこちょう,0004-02,,
stops,stop_name,en,Aomono-Yokochō,0004-02,,
stops,stop_name,ja,渋谷三丁目,0005-01,,
stops,stop_name,ja-Hrkt,しぶやさんちょうめ,0005-01,,
stops,stop_name,en,Shibuya-Sanchōme (Shibuya 3),0005-01,,
stops,stop_name,ja,渋谷三丁目,0005-02,,
stops,stop_name,ja-Hrkt,しぶやさんちょうめ,0005-02,,
stops,stop_name,en,Shibuya-Sanchōme (Shibuya 3),0005-02,,
stops,stop_name,ja,渋谷三丁目,0005-03,,
stops,stop_name,ja-Hrkt,しぶやさんちょうめ,0005-03,,
stops,stop_name,en,Shibuya-Sanchōme (Shibuya 3),0005-03,,
stops,stop_name,ja,青山学院初等部前,0006-01,,
stops,stop_name,ja-Hrkt,あおやまがくいんしょとうぶまえ,0006-01,,
stops,stop_name,en,Aoyamagakuin-Shotōbu,0006-01,,
stops,stop_name,ja,青山学院初等部前,0006-02,,
stops,stop_name,ja-Hrkt,あおやまがくいんしょとうぶまえ,0006-02,,
stops,stop_name,en,Aoyamagakuin-Shotōbu,0006-02,,
stops,stop_name,ja,青山学院中等部前,0007-01,,
stops,stop_name,ja-Hrkt,あおやまがくいんちゅうとうぶまえ,0007-01,,
stops,stop_name,en,Aoyamagakuin-Chūtōbu,0007-01,,
stops,stop_name,ja,青山学院中等部前,0007-02,,
stops,stop_name,ja-Hrkt,あおやまがくいんちゅうとうぶまえ,0007-02,,
stops,stop_name,en,Aoyamagakuin-Chūtōbu,0007-02,,
stops,stop_name,ja,青山学院前,0008-01,,
stops,stop_name,ja-Hrkt,あおやまがくいんまえ,0008-01,,
stops,stop_name,en,Aoyamagakuin (Aoyama Gakuin Univ.),0008-01,,
stops,stop_name,ja,青山学院前,0008-02,,
stops,stop_name,ja-Hrkt,あおやまがくいんまえ,0008-02,,
stops,stop_name,en,Aoyamagakuin (Aoyama Gakuin Univ.),0008-02,,
stops,stop_name,ja,青山斎場,0009-01,,
stops,stop_name,ja-Hrkt,あおやまさいじょう,0009-01,,
stops,stop_name,en,Aoyama-Saijō,0009-01,,
