"統計名：","令和２年国勢調査 人口等基本集計　（主な内容：男女・年齢・配偶関係，世帯の構成，住居の状態，母子・父子世帯，国籍など）"
"表番号：","1-1-1"
"表題：","[総人口・総世帯数・男女・年齢・配偶関係] 男女別人口－全国，都道府県，市区町村（2000年（平成12年）市区町村含む）"
"実施年月：","2020年","10月"
"市区町村時点（年月日）：","-"

"***","当該数値がないもの"
"-","当該数値がないもの"

"","","","","","","/表章事項 コード","2020_01","2020_01","2020_01"
"","","","","","","/表章事項 補助コード","-","-","-"
"","","","","","","/表章事項","人口【人】","人口【人】","人口【人】"
"","","","","","","/男女 コード","0","1","2"
"","","","","","","/男女 補助コード","-","-","-"
"時間軸（年次） コード","時間軸（年次） 補助コード","時間軸（年次）","全国，都道府県，市区町村（2000年市区町村含む） コード","全国，都道府県，市区町村（2000年市区町村含む） 補助コード","全国，都道府県，市区町村（2000年市区町村含む）","/男女","総数","男","女"
"2020000000","","2020年","00000","","全国","","126146099","61349581","64796518"
"2020000000","","2020年","01000","","北海道","","5224614","2465088","2759526"
"2020000000","","2020年","01100","","札幌市","","1973395","918682","1054713"
"2020000000","","2020年","01101","","札幌市中央区","","248680","112853","135827"
"2020000000","","2020年","01102","","札幌市北区","","289323","136596","152727"
"2020000000","","2020年","01103","","札幌市東区","","265379","126023","139356"
"2020000000","","2020年","01104","","札幌市白石区","","211835","100062","111773"
"2020000000","","2020年","01105","","札幌市豊平区","","225298","104154","121144"
"2020000000","","2020年","01106","","札幌市南区","","135777","62347","73430"
"2020000000","","2020年","01107","","札幌市西区","","217040","100027","117013"
"2020000000","","2020年","01108","","札幌市厚別区","","125083","56755","68328"
"2020000000","","2020年","01109","","札幌市手稲区","","142625","66913","75712"
"2020000000","","2020年","01110","","札幌市清田区","","112355","52952","59403"
"2020000000","","2020年","01202","","函館市","","251084","113965","137119"
"2020000000","","2020年","0120B","","（旧：函館市）","","241024","109284","131740"
"2020000000","","2020年","01339","","（旧：戸井町）","","2291","1026","1265"
"2020000000","","2020年","01340","","（旧：恵山町）","","2486","1164","1322"
"2020000000","","2020年","01341","","（旧：椴法華村）","","745","338","407"
"2020000000","","2020年","01342","","（旧：南茅部町）","","4538","2153","2385"
"2020000000","","2020年","01203","","小樽市","","111299","50136","61163"
"2020000000","","2020年","01204","","旭川市","","329306","152108","177198"
"2020000000","","2020年","01205","","室蘭市","","82383","40390","41993"
"2020000000","","2020年","01206","","釧路市","","165077","77506","87571"
"2020000000","","2020年","0120C","","（旧：釧路市）","","159011","74548","84463"
"2020000000","","2020年","01666","","（旧：阿寒町）","","4390","2127","2263"
"2020000000","","2020年","01669","","（旧：音別町）","","1676","831","845"
"2020000000","","2020年","01207","","帯広市","","166536","79623","86913"
"2020000000","","2020年","01208","","北見市","","115480","54729","60751"
"2020000000","","2020年","0120D","","（旧：北見市）","","102000","48392","53608"
"2020000000","","2020年","01548","","（旧：端野町）","","4384","2126","2258"
"2020000000","","2020年","01551","","（旧：留辺蘂町）","","5570","2565","3005"
"2020000000","","2020年","01553","","（旧：常呂町）","","3526","1646","1880"
"2020000000","","2020年","01209","","夕張市","","7334","3381","3953"
"2020000000","","2020年","01210","","岩見沢市","","79306","37105","42201"
"2020000000","","2020年","0121B","","（旧：岩見沢市）","","72184","33758","38426"
"2020000000","","2020年","01421","","（旧：北村）","","2320","1095","1225"
"2020000000","","2020年","01422","","（旧：栗沢町）","","4802","2252","2550"
"2020000000","","2020年","01211","","網走市","","35759","18060","17699"
"2020000000","","2020年","01212","","留萌市","","20114","9649","10465"
"2020000000","","2020年","01213","","苫小牧市","","170113","83522","86591"
"2020000000","","2020年","01214","","稚内市","","33563","16651","16912"
"2020000000","","2020年","01215","","美唄市","","20413","9565","10848"
"2020000000","","2020年","01216","","芦別市","","12555","5762","6793"
"2020000000","","2020年","01217","","江別市","","121056","57523","63533"
"2020000000","","2020年","01218","","赤平市","","9698","4388","5310"
"2020000000","","2020年","01219","","紋別市","","21215","9901","11314"
"2020000000","","2020年","01220","","士別市","","17858","8416","9442"
"2020000000","","2020年","0122B","","（旧：士別市）","","16734","7913","8821"
"2020000000","","2020年","01466","","（旧：朝日町）","","1124","503","621"
"2020000000","","2020年","01221","","名寄市","","27282","13322","13960"
"2020000000","","2020年","0122C","","（旧：名寄市）","","23788","11714","12074"
"2020000000","","2020年","01467","","（旧：風連町）","","3494","1608","1886"
"2020000000","","2020年","01222","","三笠市","","8040","3631","4409"
"2020000000","","2020年","01223","","根室市","","24636","11762","12874"
"2020000000","","2020年","01224","","千歳市","","97950","49790","48160"
"2020000000","","2020年","01225","","滝川市","","39490","18832","20658"
"2020000000","","2020年","01226","","砂川市","","16486","7607","8879"
"2020000000","","2020年","01227","","歌志内市","","2989","1399","1590"
"2020000000","","2020年","01228","","深川市","","20039","9362","10677"
"2020000000","","2020年","01229","","富良野市","","21131","9947","11184"
"2020000000","","2020年","01230","","登別市","","46391","22146","24245"
"2020000000","","2020年","01231","","恵庭市","","70331","34088","36243"
"2020000000","","2020年","01233","","伊達市","","32826","15176","17650"
"2020000000","","2020年","0123B","","（旧：伊達市）","","31748","14674","17074"
"2020000000","","2020年","01574","","（旧：大滝村）","","1078","502","576"
"2020000000","","2020年","01234","","北広島市","","58171","27763","30408"
"2020000000","","2020年","01235","","石狩市","","56869","27324","29545"
"2020000000","","2020年","0123C","","（旧：石狩市）","","54147","25990","28157"
"2020000000","","2020年","01305","","（旧：厚田村）","","1638","823","815"
"2020000000","","2020年","01306","","（旧：浜益村）","","1084","511","573"
"2020000000","","2020年","01236","","北斗市","","44302","20542","23760"
"2020000000","","2020年","01335","","（旧：上磯町）","","34276","15857","18419"
"2020000000","","2020年","01336","","（旧：大野町）","","10026","4685","5341"
"2020000000","","2020年","01303","","当別町","","15916","7703","8213"
"2020000000","","2020年","01304","","新篠津村","","3044","1484","1560"
"2020000000","","2020年","01331","","松前町","","6260","2805","3455"
"2020000000","","2020年","01332","","福島町","","3794","1755","2039"
"2020000000","","2020年","01333","","知内町","","4167","2060","2107"
"2020000000","","2020年","01334","","木古内町","","3832","1750","2082"
"2020000000","","2020年","01337","","七飯町","","27686","12679","15007"
"2020000000","","2020年","01343","","鹿部町","","3760","1779","1981"
"2020000000","","2020年","01345","","森町","","14338","6658","7680"
"2020000000","","2020年","01344","","（旧：砂原町）","","3404","1563","1841"
"2020000000","","2020年","0134B","","（旧：森町）","","10934","5095","5839"
"2020000000","","2020年","01346","","八雲町","","15826","7894","7932"
"2020000000","","2020年","0134C","","（旧：八雲町）","","13833","6970","6863"
"2020000000","","2020年","01365","","（旧：熊石町）","","1993","924","1069"
"2020000000","","2020年","01347","","長万部町","","5109","2448","2661"
"2020000000","","2020年","01361","","江差町","","7428","3569","3859"
"2020000000","","2020年","01362","","上ノ国町","","4306","1965","2341"
"2020000000","","2020年","01363","","厚沢部町","","3592","1717","1875"
"2020000000","","2020年","01364","","乙部町","","3403","1538","1865"
"2020000000","","2020年","01367","","奥尻町","","2410","1280","1130"
"2020000000","","2020年","01370","","今金町","","5072","2446","2626"
"2020000000","","2020年","01371","","せたな町","","7398","3466","3932"
"2020000000","","2020年","01366","","（旧：大成町）","","1280","555","725"
"2020000000","","2020年","01368","","（旧：瀬棚町）","","1615","767","848"
"2020000000","","2020年","01369","","（旧：北檜山町）","","4503","2144","2359"
"2020000000","","2020年","01391","","島牧村","","1356","687","669"
"2020000000","","2020年","01392","","寿都町","","2838","1397","1441"
"2020000000","","2020年","01393","","黒松内町","","2791","1353","1438"
"2020000000","","2020年","01394","","蘭越町","","4568","2197","2371"
"2020000000","","2020年","01395","","ニセコ町","","5074","2624","2450"
"2020000000","","2020年","01396","","真狩村","","2045","1035","1010"
"2020000000","","2020年","01397","","留寿都村","","1911","971","940"
"2020000000","","2020年","01398","","喜茂別町","","2156","1112","1044"
"2020000000","","2020年","01399","","京極町","","2941","1420","1521"
"2020000000","","2020年","01400","","倶知安町","","15129","7787","7342"
"2020000000","","2020年","01401","","共和町","","5772","3047","2725"
"2020000000","","2020年","01402","","岩内町","","11648","5500","6148"
"2020000000","","2020年","01403","","泊村","","1569","784","785"
"2020000000","","2020年","01404","","神恵内村","","870","400","470"
"2020000000","","2020年","01405","","積丹町","","1831","855","976"
"2020000000","","2020年","01406","","古平町","","2745","1307","1438"
"2020000000","","2020年","01407","","仁木町","","3180","1526","1654"
"2020000000","","2020年","01408","","余市町","","18000","8342","9658"
"2020000000","","2020年","01409","","赤井川村","","1165","606","559"
"2020000000","","2020年","01423","","南幌町","","7319","3461","3858"
"2020000000","","2020年","01424","","奈井江町","","5120","2405","2715"
"2020000000","","2020年","01425","","上砂川町","","2841","1292","1549"
"2020000000","","2020年","01427","","由仁町","","4822","2302","2520"
"2020000000","","2020年","01428","","長沼町","","10289","4919","5370"
"2020000000","","2020年","01429","","栗山町","","11272","5176","6096"
"2020000000","","2020年","01430","","月形町","","3691","2185","1506"
"2020000000","","2020年","01431","","浦臼町","","1732","845","887"
"2020000000","","2020年","01432","","新十津川町","","6484","2976","3508"
"2020000000","","2020年","01433","","妹背牛町","","2693","1290","1403"
"2020000000","","2020年","01434","","秩父別町","","2329","1072","1257"
"2020000000","","2020年","01436","","雨竜町","","2389","1165","1224"
"2020000000","","2020年","01437","","北竜町","","1724","823","901"
"2020000000","","2020年","01438","","沼田町","","2909","1392","1517"
"2020000000","","2020年","01452","","鷹栖町","","6567","3105","3462"
"2020000000","","2020年","01453","","東神楽町","","10127","4702","5425"
"2020000000","","2020年","01454","","当麻町","","6319","2912","3407"
"2020000000","","2020年","01455","","比布町","","3520","1662","1858"
"2020000000","","2020年","01456","","愛別町","","2605","1215","1390"
"2020000000","","2020年","01457","","上川町","","3500","1708","1792"
"2020000000","","2020年","01458","","東川町","","8314","3877","4437"
"2020000000","","2020年","01459","","美瑛町","","9668","4495","5173"
"2020000000","","2020年","01460","","上富良野町","","10348","5363","4985"
"2020000000","","2020年","01461","","中富良野町","","4733","2260","2473"
"2020000000","","2020年","01462","","南富良野町","","2376","1228","1148"
"2020000000","","2020年","01463","","占冠村","","1306","653","653"
"2020000000","","2020年","01464","","和寒町","","3192","1497","1695"
"2020000000","","2020年","01465","","剣淵町","","2926","1425","1501"
"2020000000","","2020年","01468","","下川町","","3126","1491","1635"
"2020000000","","2020年","01469","","美深町","","4145","2038","2107"
"2020000000","","2020年","01470","","音威子府村","","706","365","341"
"2020000000","","2020年","01471","","中川町","","1528","805","723"
"2020000000","","2020年","01472","","幌加内町","","1370","681","689"
"2020000000","","2020年","01439","","（旧：幌加内町）","","1370","681","689"
"2020000000","","2020年","01481","","増毛町","","3908","1776","2132"
"2020000000","","2020年","01482","","小平町","","2994","1431","1563"
"2020000000","","2020年","01483","","苫前町","","2936","1428","1508"
"2020000000","","2020年","01484","","羽幌町","","6548","3163","3385"
"2020000000","","2020年","01485","","初山別村","","1080","518","562"
"2020000000","","2020年","01486","","遠別町","","2520","1222","1298"
"2020000000","","2020年","01487","","天塩町","","2950","1478","1472"
"2020000000","","2020年","01511","","猿払村","","2611","1285","1326"
"2020000000","","2020年","01512","","浜頓別町","","3448","1675","1773"
"2020000000","","2020年","01513","","中頓別町","","1637","818","819"
"2020000000","","2020年","01514","","枝幸町","","7565","3600","3965"
"2020000000","","2020年","0151B","","（旧：枝幸町）","","6067","2884","3183"
"2020000000","","2020年","01515","","（旧：歌登町）","","1498","716","782"
"2020000000","","2020年","01516","","豊富町","","3974","2098","1876"
"2020000000","","2020年","01517","","礼文町","","2509","1284","1225"
"2020000000","","2020年","01518","","利尻町","","2004","994","1010"
"2020000000","","2020年","01519","","利尻富士町","","2458","1188","1270"
"2020000000","","2020年","01520","","幌延町","","2371","1290","1081"
"2020000000","","2020年","01488","","（旧：幌延町）","","2371","1290","1081"
"2020000000","","2020年","01543","","美幌町","","18697","9063","9634"
"2020000000","","2020年","01544","","津別町","","4373","2096","2277"
