"ìùåvñºÅF","â∆åví≤ç∏ â∆åvé˚éxï“ ëçê¢ë—"
"ï\î‘çÜÅF","001"
"ï\ëËÅF","[ópìrï™óﬁ] ópìrï™óﬁÅiëçêîÅj ëSçë"
"é¿é{îNåéÅF","-","-"
"ésãÊí¨ë∫éûì_ÅiîNåéì˙ÅjÅF","-"

"***","í≤ç∏ñîÇÕèWåvÇµÇƒÇ¢Ç»Ç¢Ç‡ÇÃ"
"-","äYìñêîéöÇ™Ç»Ç¢Ç‡ÇÃ"
"X","êîílÇ™îÈìΩÇ≥ÇÍÇƒÇ¢ÇÈÇ‡ÇÃ"

"","","","","","","","","","","","","/ópìrï™óﬁ ÉRÅ[Éh","001","002","003","007","009","011","015","018","019","020","021","022","023","024","267","025","026","027","028","029","273","030","031","268","032","033","034","035","036","037","038","039","040","041","042","043","044","045","046","047","048","049","050","051","269","052","053","054","055","056","057","058","059","060","061","062","063","064","065","066","067","068","069","070","071","072","073","074","075","076","077","078","079","080","081","082","083","084","085","086","087","088","089","090","091","092","093","094","095","096","097","098","099","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","128","132","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","186","266","187","188","189","190","191","192","193","194","195","196","197","198","199","200","201","202","203","204","205","206","207","208","209","210","211","270","212","213","214","215","216","217","218","219","220","221","222","223","224","225","226","227","228","229","230","231","232","233","234","235","236","237","238","239","240","241","242","243","271","244","245","246","247","248","249","250","251","252","263","264","265"
"","","","","","","","","","","","","/ópìrï™óﬁ ï‚èïÉRÅ[Éh","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ï\èÕçÄñ⁄ ÉRÅ[Éh","ï\èÕçÄñ⁄ ï‚èïÉRÅ[Éh","ï\èÕçÄñ⁄","ê¢ë—ãÊï™ ÉRÅ[Éh","ê¢ë—ãÊï™ ï‚èïÉRÅ[Éh","ê¢ë—ãÊï™","ínàÊãÊï™ ÉRÅ[Éh","ínàÊãÊï™ ï‚èïÉRÅ[Éh","ínàÊãÊï™","éûä‘é≤ÅiîNéüÅj ÉRÅ[Éh","éûä‘é≤ÅiîNéüÅj ï‚èïÉRÅ[Éh","éûä‘é≤ÅiîNéüÅj","/ópìrï™óﬁ","ê¢ë—êîï™ïzÅiíäèoó¶í≤êÆÅjÅyàÍñúï™î‰Åz","èWåvê¢ë—êîÅyê¢ë—Åz","ê¢ë—êlàıÅyêlÅz","óLã∆êlàıÅyêlÅz","ê¢ë—éÂÇÃîNóÓÅyçŒÅz","éùâ∆ó¶ÅyÅìÅz","â∆í¿ÅEínë„Çéxï•Ç¡ÇƒÇ¢ÇÈê¢ë—ÇÃäÑçáÅyÅìÅz","éÛéÊÅyâ~Åz","é¿é˚ì¸Åyâ~Åz","åoèÌé˚ì¸Åyâ~Åz","ãŒÇﬂêÊé˚ì¸Åyâ~Åz","ê¢ë—éÂé˚ì¸Åyâ~Åz","ê¢ë—éÂé˚ì¸ÅiíjÅjÅyâ~Åz","íËä˙é˚ì¸Åyâ~Åz","ó’éûé˚ì¸ÅEè‹ó^Åyâ~Åz","ó’éûé˚ì¸Åyâ~Åz","è‹ó^Åyâ~Åz","ê¢ë—éÂÇÃîzãÙé“ÇÃé˚ì¸Åyâ~Åz","ê¢ë—éÂÇÃîzãÙé“ÇÃé˚ì¸ÅièóÅjÅyâ~Åz","ëºÇÃê¢ë—àıé˚ì¸Åyâ~Åz","éñã∆ÅEì‡êEé˚ì¸Åiî_ó—ãôã∆é˚ì¸Çä‹ÇﬁÅjÅi2020îNÅ`ÅjÅyâ~Åz","éñã∆ÅEì‡êEé˚ì¸Åiî_ó—ãôã∆é˚ì¸ÇèúÇ≠ÅjÅiÅ`2019îNÅjÅyâ~Åz","â∆í¿é˚ì¸Åyâ~Åz","ëºÇÃéñã∆é˚ì¸Åiî_ó—ãôã∆é˚ì¸Çä‹ÇﬁÅjÅi2020îNÅ`ÅjÅyâ~Åz","ëºÇÃéñã∆é˚ì¸Åiî_ó—ãôã∆é˚ì¸ÇèúÇ≠ÅjÅiÅ`2019îNÅjÅyâ~Åz","ì‡êEé˚ì¸Åyâ~Åz","î_ó—ãôã∆é˚ì¸Åyâ~Åz","ëºÇÃåoèÌé˚ì¸Åyâ~Åz","ç‡éYé˚ì¸Åyâ~Åz","é–âÔï€è·ããïtÅyâ~Åz","åˆìIîNã‡ããïtÅyâ~Åz","ëºÇÃé–âÔï€è·ããïtÅyâ~Åz","édëóÇËã‡Åié˚ì¸ÅjÅyâ~Åz","ì¡ï é˚ì¸Åyâ~Åz","éÛë°ã‡Åyâ~Åz","ëºÇÃì¡ï é˚ì¸Åyâ~Åz","é¿é˚ì¸à»äOÇÃéÛéÊÅiåJì¸ã‡ÇèúÇ≠ÅjÅyâ~Åz","óaíôã‡à¯èoÅyâ~Åz","ï€åØã‡Åyâ~Åz","å¬êlÅEäÈã∆îNã‡ï€åØã‡Åyâ~Åz","ëºÇÃï€åØã‡Åyâ~Åz","óLâøèÿåîîÑãpÅyâ~Åz","ìyínâ∆âÆéÿì¸ã‡Åyâ~Åz","ëºÇÃéÿì¸ã‡Åyâ~Åz","ÉNÉåÉWÉbÉgçwì¸éÿì¸ã‡Åyâ~Åz","ï™äÑï•çwì¸éÿì¸ã‡Åyâ~Åz","àÍäáï•çwì¸éÿì¸ã‡Åyâ~Åz","ç‡éYîÑãpÅyâ~Åz","é¿é˚ì¸à»äOÇÃéÛéÊÇÃÇªÇÃëºÅyâ~Åz","åJì¸ã‡Åyâ~Åz","éxï•Åyâ~Åz","é¿éxèoÅyâ~Åz","è¡îÔéxèoÅyâ~Åz","êHóøÅyâ~Åz","çíóﬁÅyâ~Åz","ïƒÅyâ~Åz","ÉpÉìÅyâ~Åz","ñÀóﬁÅyâ~Åz","ëºÇÃçíóﬁÅyâ~Åz","ãõâÓóﬁÅyâ~Åz","ê∂ëNãõâÓÅyâ~Åz","âñä±ãõâÓÅyâ~Åz","ãõì˜ó˚êªïiÅyâ~Åz","ëºÇÃãõâÓâ¡çHïiÅyâ~Åz","ì˜óﬁÅyâ~Åz","ê∂ëNì˜Åyâ~Åz","â¡çHì˜Åyâ~Åz","ì˚óëóﬁÅyâ~Åz","ãçì˚Åyâ~Åz","ì˚êªïiÅyâ~Åz","óëÅyâ~Åz","ñÏçÿÅEäCëîÅyâ~Åz","ê∂ëNñÏçÿÅyâ~Åz","ä£ï®ÅEäCëîÅyâ~Åz","ëÂì§â¡çHïiÅyâ~Åz","ëºÇÃñÏçÿÅEäCëîâ¡çHïiÅyâ~Åz","â ï®Åyâ~Åz","ê∂ëNâ ï®Åyâ~Åz","â ï®â¡çHïiÅyâ~Åz","ñ˚éâÅEí≤ñ°óøÅyâ~Åz","ñ˚éâÅyâ~Åz","í≤ñ°óøÅyâ~Åz","âŸéqóﬁÅyâ~Åz","í≤óùêHïiÅyâ~Åz","éÂêHìIí≤óùêHïiÅyâ~Åz","ëºÇÃí≤óùêHïiÅyâ~Åz","à˘óøÅyâ~Åz","íÉóﬁÅyâ~Åz","ÉRÅ[ÉqÅ[ÅEÉRÉRÉAÅyâ~Åz","ëºÇÃà˘óøÅyâ~Åz","éóﬁÅyâ~Åz","äOêHÅyâ~Åz","àÍî äOêHÅyâ~Åz","äwçZããêHÅyâ~Åz","òdÇ¢îÔÅyâ~Åz","èZãèÅyâ~Åz","â∆í¿ínë„Åyâ~Åz","ê›îıèCëUÅEà€éùÅyâ~Åz","ê›îıçﬁóøÅyâ~Åz","çHéñÇªÇÃëºÇÃÉTÅ[ÉrÉXÅyâ~Åz","åıîMÅEêÖìπÅyâ~Åz","ìdãCë„Åyâ~Åz","ÉKÉXë„Åyâ~Åz","ëºÇÃåıîMÅyâ~Åz","è„â∫êÖìπóøÅyâ~Åz","â∆ãÔÅEâ∆éñópïiÅyâ~Åz","â∆íÎópëœãvç‡Åyâ~Åz","â∆éñópëœãvç‡Åyâ~Åz","ó‚ígñ[ópäÌãÔÅyâ~Åz","àÍî â∆ãÔÅyâ~Åz","é∫ì‡ëïîıÅEëïè¸ïiÅyâ~Åz","êQãÔóﬁÅyâ~Åz","â∆éñéGâ›Åyâ~Åz","â∆éñópè¡ñ’ïiÅyâ~Åz","â∆éñÉTÅ[ÉrÉXÅyâ~Åz","îÌïûãyÇ—óöï®Åyâ~Åz","òaïûÅyâ~Åz","ómïûÅyâ~Åz","ÉVÉÉÉcÅEÉZÅ[É^Å[óﬁÅyâ~Åz","â∫íÖóﬁÅyâ~Åz","ê∂ínÅEéÖóﬁÅyâ~Åz","ëºÇÃîÌïûÅyâ~Åz","óöï®óﬁÅyâ~Åz","îÌïûä÷òAÉTÅ[ÉrÉXÅyâ~Åz","ï€åíà„ó√Åyâ~Åz","à„ñÚïiÅyâ~Åz","åíçNï€éùópê€éÊïiÅyâ~Åz","ï€åíà„ó√ópïiÅEäÌãÔÅyâ~Åz","ï€åíà„ó√ÉTÅ[ÉrÉXÅyâ~Åz","åí ÅEí êMÅyâ~Åz","åí Åyâ~Åz","é©ìÆé‘ìôä÷åWîÔÅyâ~Åz","é©ìÆé‘ìôçwì¸Åyâ~Åz","é©ì]é‘çwì¸Åyâ~Åz","é©ìÆé‘ìôà€éùÅyâ~Åz","í êMÅyâ~Åz","ã≥àÁÅyâ~Åz","ã≥ó{å‚äyÅyâ~Åz","ã≥ó{å‚äyópëœãvç‡Åyâ~Åz","ã≥ó{å‚äyópïiÅyâ~Åz","èëê–ÅEëºÇÃàÛç¸ï®Åyâ~Åz","ã≥ó{å‚äyÉTÅ[ÉrÉXÅyâ~Åz","èhîëóøÅyâ~Åz","ÉpÉbÉNó∑çsîÔÅyâ~Åz","åéé”óﬁÅyâ~Åz","ëºÇÃã≥ó{å‚äyÉTÅ[ÉrÉXÅyâ~Åz","ÇªÇÃëºÇÃè¡îÔéxèoÅyâ~Åz","èîéGîÔÅyâ~Åz","óùî¸óeÉTÅ[ÉrÉXÅyâ~Åz","óùî¸óeópïiÅyâ~Åz","êgÇÃâÒÇËópïiÅyâ~Åz","ÇΩÇŒÇ±Åyâ~Åz","ëºÇÃèîéGîÔÅyâ~Åz","Ç±Ç√Ç©Ç¢ÅiégìrïsñæÅjÅyâ~Åz","åç€îÔÅyâ~Åz","êHóøÅiåç€îÔÅjÅyâ~Åz","â∆ãÔÅEâ∆éñópïiÅiåç€îÔÅjÅyâ~Åz","îÌïûãyÇ—óöï®Åiåç€îÔÅjÅyâ~Åz","ã≥ó{å‚äyÅiåç€îÔÅjÅyâ~Åz","ëºÇÃï®ïiÉTÅ[ÉrÉXÅiåç€îÔÅjÅyâ~Åz","ë°ó^ã‡Åiåç€îÔÅjÅyâ~Åz","ëºÇÃåç€îÔÅyâ~Åz","édëóÇËã‡ÅiéxèoÅjÅyâ~Åz","ÅiçƒåfÅjã≥àÁä÷åWîÔÅyâ~Åz","ÅiçƒåfÅjã≥ó{å‚äyä÷åWîÔÅyâ~Åz","ÅiçƒåfÅjèÓïÒí êMä÷åWîÔÅyâ~Åz","ÅiçƒåfÅjè¡îÔéxèoÅièúÇ≠èZãèìôÅjÅyâ~Åz","ÅiçƒåfÅjç‡ÅEÉTÅ[ÉrÉXåvÅyâ~Åz","ç‡Åiè§ïiÅjÅyâ~Åz","ëœãvç‡Åyâ~Åz","îºëœãvç‡Åyâ~Åz","îÒëœãvç‡Åyâ~Åz","ÉTÅ[ÉrÉXÅyâ~Åz","îÒè¡îÔéxèoÅyâ~Åz","íºê⁄ê≈Åyâ~Åz","ãŒòJèäìæê≈Åyâ~Åz","å¬êlèZñØê≈Åyâ~Åz","ëºÇÃê≈Åyâ~Åz","é–âÔï€åØóøÅyâ~Åz","åˆìIîNã‡ï€åØóøÅyâ~Åz","åíçNï€åØóøÅyâ~Åz","âÓåÏï€åØóøÅyâ~Åz","ëºÇÃé–âÔï€åØóøÅyâ~Åz","ëºÇÃîÒè¡îÔéxèoÅyâ~Åz","é¿éxèoà»äOÇÃéxï•ÅiåJâzã‡ÇèúÇ≠ÅjÅyâ~Åz","óaíôã‡Åyâ~Åz","ï€åØóøÅyâ~Åz","å¬êlÅEäÈã∆îNã‡ï€åØóøÅyâ~Åz","ëºÇÃï€åØóøÅyâ~Åz","óLâøèÿåîçwì¸Åyâ~Åz","ìyínâ∆âÆéÿã‡ï‘çœÅyâ~Åz","ëºÇÃéÿã‡ï‘çœÅyâ~Åz","ÉNÉåÉWÉbÉgçwì¸éÿì¸ã‡ï‘çœÅyâ~Åz","ï™äÑï•çwì¸éÿì¸ã‡ï‘çœÅyâ~Åz","àÍäáï•çwì¸éÿì¸ã‡ï‘çœÅyâ~Åz","ç‡éYçwì¸Åyâ~Åz","é¿éxèoà»äOÇÃéxï•ÇÃÇªÇÃëºÅyâ~Åz","åJâzã‡Åyâ~Åz","åªï®ëçäzÅyâ~Åz","ãŒÇﬂêÊé˚ì¸Åiåªï®ÅjÅyâ~Åz","é©â∆éYï®Åiåªï®ÅjÅyâ~Åz","ÇªÇÃëºÅiåªï®ÅjÅyâ~Åz","åªï®ëçäzÅiçƒåfÅjÅyâ~Åz","êHóøÅiåªï®ÅjÅyâ~Åz","é©â∆éYï®Åiåªï®ÅiêHóøÅjÅjÅyâ~Åz","èZãèÅiåªï®ÅjÅyâ~Åz","åıîMÅEêÖìπÅiåªï®ÅjÅyâ~Åz","â∆ãÔÅEâ∆éñópïiÅiåªï®ÅjÅyâ~Åz","îÌïûãyÇ—óöï®Åiåªï®ÅjÅyâ~Åz","ï€åíà„ó√Åiåªï®ÅjÅyâ~Åz","åí ÅEí êMÅiåªï®ÅjÅyâ~Åz","ã≥àÁÅiåªï®ÅjÅyâ~Åz","ã≥ó{å‚äyÅiåªï®ÅjÅyâ~Åz","ÇªÇÃëºÇÃè¡îÔéxèoÅiåªï®ÅjÅyâ~Åz","â¬èàï™èäìæÅyâ~Åz","çïéöÅyâ~Åz","ã‡óZéëéYèÉëùÅyâ~Åz","íôí~èÉëùÅyâ~Åz","óaíôã‡èÉëùÅyâ~Åz","ï€åØèÉëùÅyâ~Åz","å¬êlÅEäÈã∆îNã‡ï€åØèÉëùÅyâ~Åz","ëºÇÃï€åØèÉëùÅyâ~Åz","óLâøèÿåîèÉçwì¸Åyâ~Åz","ìyínâ∆âÆéÿã‡èÉå∏Åyâ~Åz","ëºÇÃéÿã‡èÉå∏Åyâ~Åz","ÉNÉåÉWÉbÉgçwì¸éÿì¸ã‡èÉå∏Åyâ~Åz","ï™äÑï•çwì¸éÿì¸ã‡èÉå∏Åyâ~Åz","àÍäáï•çwì¸éÿì¸ã‡èÉå∏Åyâ~Åz","ç‡éYèÉëùÅyâ~Åz","ÇªÇÃëºÇÃèÉëùÅyâ~Åz","åJâzèÉëùÅyâ~Åz","ïΩãœè¡îÔê´å¸ÅyÅìÅz","çïéöó¶ÅyÅìÅz","ã‡óZéëéYèÉëùó¶ÅyÅìÅz","ïΩãœíôí~ó¶ÅyÅìÅz","ÉGÉìÉQÉãåWêîÅyÅìÅz","îNä‘é˚ì¸Åyñúâ~Åz","í≤êÆèWåvê¢ë—êîÅyê¢ë—Åz"
"01","","ã‡äz","11","","ëçê¢ë—","00000","","ëSçë","2007000000","","2007îN","","10000","8535","2.54","1.16","55.5","71.5","25.7","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","261526","59961","5248","1994","1892","1043","318","5738","3521","1013","557","647","4837","3840","997","2679","1198","921","560","6800","4312","573","975","939","2288","2171","117","2501","229","2272","4037","7329","3222","4107","3491","932","679","1880","2884","12039","11318","721","91","19287","12545","6741","2154","4587","18521","7912","4941","1475","4193","8308","2640","1457","732","451","739","637","1712","1807","773","11385","321","4528","2352","969","214","861","1322","818","11040","1525","994","1785","6736","33526","6056","17271","4027","194","13051","10198","9162","28371","3159","5689","4017","15506","1316","3988","2755","7448","61967","19861","2781","3371","1777","1211","10720","10935","25081","6227","308","750","1351","644","12294","3507","6091","14770","32994","12241","***","228700","127222","13985","21721","91516","101478","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","8197","5929","402","603","13","250","316","55","218","0","551","261","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","22.9","553","1000000"
"01","","ã‡äz","11","","ëçê¢ë—","00000","","ëSçë","2008000000","","2008îN","","10000","8521","2.52","1.15","55.6","72.5","25.4","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","261306","60583","5452","2012","1962","1132","346","5576","3355","994","583","644","5082","4043","1039","2694","1159","943","592","6801","4329","566","967","940","2245","2139","107","2629","266","2363","4187","7230","3252","3978","3356","895","683","1777","2925","12313","11637","676","90","18930","12529","6402","2003","4399","19418","8387","5232","1636","4164","8319","2636","1417","827","392","703","586","1725","1869","801","11175","267","4502","2289","974","138","852","1331","822","10790","1540","1030","1822","6398","34201","5874","18093","4168","218","13706","10234","9111","28359","3092","5733","4012","15523","1344","4069","2585","7525","60418","20140","2812","3492","1660","1179","10997","10577","24028","6120","331","684","1429","642","11527","3295","5673","14450","32934","12587","***","230233","129106","14034","21463","93609","101128","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","7736","5737","414","443","22","239","275","37","206","0","545","233","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","23.2","547","1000035"
"01","","ã‡äz","11","","ëçê¢ë—","00000","","ëSçë","2009000000","","2009îN","","10000","8531","2.49","1.13","55.7","71.4","26.4","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","253720","59258","5466","1961","1989","1176","340","5399","3240","940","581","637","4930","3906","1024","2686","1143","973","570","6665","4278","557","929","901","2172","2060","112","2643","262","2381","4243","7163","3168","3995","3381","888","713","1779","2831","11601","10883","718","80","18402","12435","5967","1810","4157","18435","8211","5009","1114","4101","8448","2743","1496","819","428","685","596","1728","1904","792","10572","262","4210","2155","897","148","851","1312","736","10891","1776","976","1792","6346","32910","5433","17191","4431","181","12579","10286","9112","28396","3559","5702","3876","15259","1185","3596","2603","7875","57296","19637","2741","3467","1557","1134","10737","9528","23014","5966","348","660","1307","593","10812","3328","5116","14348","32639","12727","***","224936","125996","14635","20512","90849","98941","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","7336","5432","338","441","26","231","240","47","194","1","514","211","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","23.4","535","1000063"
"01","","ã‡äz","11","","ëçê¢ë—","00000","","ëSçë","2010000000","","2010îN","","10000","8526","2.47","1.11","56.4","71.9","25.6","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","252328","58635","5272","1846","1950","1158","319","5163","3080","908","559","617","4768","3770","997","2688","1123","1007","559","6776","4436","550","896","894","2172","2052","120","2589","239","2350","4178","7251","3212","4039","3466","884","715","1867","2839","11431","10724","707","42","19006","12200","6805","2009","4796","18635","8421","4791","1283","4141","8522","2975","1547","1067","361","576","558","1693","1890","830","10006","187","3954","2058","893","122","812","1263","717","10659","2031","1099","1755","5773","33445","5243","18000","4850","206","12943","10202","8357","28649","4340","5452","3788","15070","1242","3612","2579","7637","56415","19827","2692","3571","1507","1175","10883","9161","22050","5744","262","629","1261","561","10273","3320","5377","13679","32712","12845","212823","224197","126888","16161","19663","91064","97309","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","6583","4956","323","309","8","197","217","48","163","0","474","211","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","23.2","521","999983"
"01","","ã‡äz","11","","ëçê¢ë—","00000","","ëSçë","2011000000","","2011îN","","10000","8365","2.47","1.09","56.9","71.0","26.3","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","247223","58376","5213","1781","1946","1164","322","5010","2939","901","550","620","4841","3807","1034","2672","1069","1026","576","6664","4344","538","876","906","2163","2037","127","2634","244","2391","4160","7407","3294","4114","3527","875","708","1943","2725","11301","10619","682","59","19624","12609","7015","2376","4639","18710","8188","4792","1560","4169","8511","2706","1417","909","380","657","613","1734","1959","842","9920","261","3760","2086","924","121","815","1285","669","10795","2066","1093","1737","5899","31529","5175","16074","3239","198","12638","10280","8226","26404","2687","5330","3732","14655","1240","3327","2472","7617","55128","19862","2718","3590","1406","1214","10933","8711","21604","5484","277","589","1169","553","10455","3077","4951","13122","30409","12999","208954","220029","123592","13169","19409","91014","96437","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","6624","4871","349","447","26","233","198","35","170","0","433","209","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","23.6","520","999968"
"01","","ã‡äz","11","","ëçê¢ë—","00000","","ëSçë","2012000000","","2012îN","","10000","8489","2.45","1.09","57.5","73.7","23.7","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","247651","58500","5242","1847","1945","1128","322","4903","2860","871","548","624","4730","3714","1017","2741","1056","1141","544","6587","4341","523","860","863","2201","2058","144","2614","244","2370","4146","7548","3337","4211","3566","861","714","1991","2690","11410","10747","663","121","18962","11663","7299","2267","5031","19428","8698","4953","1611","4167","8562","2748","1337","984","427","734","586","1749","1954","790","9798","257","3671","2043","901","128","827","1297","674","10955","2055","1166","1851","5883","33820","5157","18389","4746","191","13452","10274","8163","25517","1621","5327","3637","14932","1160","3459","2520","7793","53946","19819","2735","3638","1444","1304","10697","8008","21483","5557","271","587","1199","562","10136","3171","4635","12990","29520","13035","209172","221701","125072","13528","19596","91948","96629","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","6302","4719","338","395","15","185","213","44","176","0","382","172","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","23.6","515","999947"
"01","","ã‡äz","11","","ëçê¢ë—","00000","","ëSçë","2013000000","","2013îN","","10000","8478","2.44","1.09","58.0","75.4","22.3","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","251576","59375","5140","1802","1925","1097","316","4966","2909","881","535","641","4981","3925","1056","2797","1063","1185","549","6745","4487","533","871","854","2217","2068","149","2615","256","2359","4208","7560","3340","4220","3615","881","740","1994","2709","11755","11129","625","67","19344","11350","7994","2392","5602","19831","9118","4901","1574","4238","8716","2938","1440","1096","402","677","603","1687","2028","783","9976","139","3905","2158","890","113","823","1309","639","11007","2037","1190","1809","5971","34937","5455","19187","5370","203","13614","10296","8088","25935","1624","5362","3557","15392","1318","3667","2432","7975","54366","20431","2731","3689","1587","1193","11231","7780","21357","5662","305","597","1248","605","10088","2851","4799","13004","30180","13114","211975","226058","127625","14571","19902","93152","98433","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","6069","4626","292","304","13","181","185","33","153","0","401","172","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","23.6","520","1000001"
"01","","ã‡äz","11","","ëçê¢ë—","00000","","ëSçë","2014000000","","2014îN","","10000","8467","2.41","1.07","58.3","74.7","23.1","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","251481","60272","5039","1599","2001","1098","340","5013","2921","887","547","658","5315","4221","1094","2882","1043","1238","601","6848","4573","545","872","858","2248","2074","173","2661","260","2401","4301","7810","3450","4360","3601","866","779","1956","2783","11726","11105","620","46","19069","11541","7527","2233","5294","20129","9472","4972","1518","4167","8823","2952","1527","979","446","662","642","1689","2111","768","10269","215","4030","2149","892","115","824","1400","644","11031","2006","1103","1961","5961","35080","5235","19423","5516","215","13691","10422","7576","25928","1847","5361","3494","15225","1361","3455","2412","7997","53305","20912","2803","3606","1627","1162","11715","7203","20787","5792","309","643","1357","600","9425","2661","4402","12090","30084","13250","213070","227791","129475","14822","20358","94296","98315","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","5746","4361","314","283","12","168","174","38","152","0","365","193","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","24.0","514","999947"
