sex,bp_type,20s,30s,40s,50s,60s,70s,bp_min
M,sbp,0,0,0,0,0,0,70
M,sbp,6,2,4,1,2,1,90
M,sbp,14,19,9,3,9,8,100
M,sbp,19,29,27,30,30,36,110
M,sbp,18,24,36,31,62,81,120
M,sbp,8,17,33,49,85,122,130
M,sbp,0,1,10,31,76,103,140
M,sbp,1,1,4,8,40,72,150
M,sbp,0,0,3,4,18,46,160
M,sbp,0,0,2,3,9,20,170
M,sbp,0,0,1,3,5,12,180
M,dbp,0,0,0,0,0,0,40
M,dbp,1,1,0,0,1,7,50
M,dbp,21,16,10,5,18,76,60
M,dbp,21,33,39,44,80,152,70
M,dbp,20,30,42,50,131,172,80
M,dbp,2,12,29,44,78,75,90
M,dbp,0,1,5,15,22,12,100
M,dbp,1,0,3,4,6,5,110
M,dbp,0,0,0,0,0,1,120
M,dbp,0,0,0,1,0,1,130
M,dbp,0,0,1,0,0,0,140
F,sbp,1,1,1,1,1,1,70
F,sbp,15,21,21,14,4,3,90
F,sbp,24,64,58,40,24,20,100
F,sbp,23,40,77,49,49,33,110
F,sbp,7,30,63,72,90,126,120
F,sbp,1,5,26,50,100,168,130
F,sbp,1,1,16,21,77,136,140
F,sbp,0,0,7,15,42,70,150
F,sbp,0,1,2,6,18,48,160
F,sbp,0,0,0,3,5,12,170
F,sbp,0,0,1,1,8,10,180
F,dbp,0,1,0,0,0,2,40
F,dbp,6,13,9,8,7,22,50
F,dbp,37,57,60,40,46,102,60
F,dbp,22,60,113,101,138,230,70
F,dbp,4,26,64,84,147,175,80
F,dbp,3,5,21,30,59,83,90
F,dbp,0,1,4,7,20,11,100
F,dbp,0,0,1,2,1,1,110
F,dbp,0,0,0,0,0,1,120
F,dbp,0,0,0,0,0,0,130
F,dbp,0,0,0,0,0,0,140
