日時	始値	高値	安値	終値	単純移動平均1/単純移動平均	単純移動平均2/単純移動平均	売買高/売買高+移動平均	単純移動平均1/売買高+移動平均	単純移動平均2/売買高+移動平均	
2019/02/18	28360	28450	28290	28350			2767			
2019/02/19	28350	28400	28220	28270			1849			
2019/02/20	28280	28460	28280	28340			1420			
2019/02/21	28460	28650	28390	28650			2464			
2019/02/22	28340	28370	28300	28360	28394.000		1187	1937.4		
2019/02/25	28580	28660	28550	28590	28442.000		1427	1669.4		
2019/02/26	28680	28700	28470	28520	28492.000		1648	1629.2		
2019/02/27	28500	28550	28440	28520	28528.000		2068	1758.8		
2019/02/28	28530	28560	28470	28490	28496.000		2044	1674.8		
2019/03/01	28520	28800	28520	28800	28584.000		1949	1827.2		
2019/03/04	29000	29050	28960	29010	28668.000		1753	1892.4		
2019/03/05	28650	28690	28540	28680	28700.000		9530	3468.8		
2019/03/06	28600	28600	28520	28520	28700.000		1164	3288		
2019/03/07	28440	28440	28340	28360	28674.000		1862	3251.6		
2019/03/08	28150	28220	27930	27940	28502.000		10422	4946.2		
2019/03/11	28000	28070	27870	28000	28300.000		2146	5024.8		
2019/03/12	28470	28480	28360	28430	28250.000		10091	5137		
2019/03/13	28240	28260	28090	28180	28182.000		3096	5523.4		
2019/03/14	28370	28460	28350	28420	28194.000		6201	6391.2		
2019/03/15	28450	28670	28450	28620	28330.000		8538	6014.4		
2019/03/18	28710	28730	28610	28720	28474.000		8414	7268		
2019/03/19	28750	28750	28680	28700	28528.000		5614	6372.6		
2019/03/20	28570	28690	28570	28640	28620.000		1029	5959.2		
2019/03/22	28630	28700	28530	28600	28656.000		1243	4967.6		
2019/03/25	27970	27980	27660	27820	28496.000	28461.200	2762	3812.4	3707.52	
2019/03/26	27920	28100	27920	28080	28368.000	28450.400	1346	2398.8	3650.68	
2019/03/27	28130	28260	28090	28230	28274.000	28448.800	1770	1630	3647.52	
2019/03/28	28090	28150	27940	27980	28142.000	28434.400	952	1614.6	3628.8	
2019/03/29	28370	28420	28340	28380	28098.000	28423.600	1448	1655.6	3588.16	
2019/04/01	28700	28900	28700	28800	28294.000	28441.200	2473	1597.8	3639.6	
2019/04/02	29130	29130	28960	28960	28470.000	28456.000	2822	1893	3695.4	
2019/04/03	28880	29100	28870	29080	28640.000	28478.400	2373	2013.6	3724.4	
2019/04/04	29120	29150	29000	29030	28850.000	28498.800	1365	2096.2	3696.28	
2019/04/05	29190	29300	29170	29280	29030.000	28530.400	2023	2211.2	3695.44	
2019/04/08	29270	29300	29100	29100	29090.000	28542.400	1225	1961.6	3666.48	
2019/04/09	29110	29180	29010	29040	29106.000	28543.600	833	1563.8	3629.68	
2019/04/10	28810	28890	28810	28870	29064.000	28551.200	2245	1538.2	3338.28	
2019/04/11	28900	28910	28850	28890	29036.000	28566.000	776	1420.4	3322.76	
2019/04/12	28990	29090	28990	29060	28992.000	28594.000	465	1108.8	3266.88	
2019/04/15	29450	29450	29330	29370	29046.000	28651.200	1653	1194.4	2916.12	
2019/04/16	29400	29420	29310	29350	29108.000	28705.200	1150	1257.8	2876.28	
2019/04/17	29390	29480	29370	29410	29216.000	28744.400	1653	1139.4	2538.76	
2019/04/18	29390	29440	29260	29260	29290.000	28787.600	1244	1233	2464.68	
2019/04/19	29500	29550	29500	29500	29378.000	28830.800	1619	1463.8	2281.4	
2019/04/22	29600	29660	29470	29490	29402.000	28865.600	1168	1366.8	1986.6	
2019/04/23	29530	29540	29410	29540	29440.000	28898.400	414	1219.6	1666.6	
2019/04/24	29650	29680	29570	29600	29478.000	28934.400	2157	1320.4	1528.32	
2019/04/25	29580	29650	29550	29590	29544.000	28972.400	1262	1324	1537.64	
2019/04/26	29400	29570	29270	29350	29514.000	29002.400	2218	1443.8	1576.64	
2019/05/07	29040	29040	28860	28900	29396.000	29045.600	3179	1846	1593.32	
2019/05/08	28490	28570	28410	28520	29192.000	29063.200	4742	2711.6	1729.16	
